N	3gram	Vinokur_Ku_2	FransuaR
1	то же время	3	9
2	в то же	3	9
3	прежде всего в	1	4
4	как мы видели	1	4
5	после того как	1	4
6	в конце концов	3	4
7	в свою очередь	2	3
8	с точки зрения	8	3
9	в том что	10	3
10	а следовательно и	2	2
11	дело в том	1	2
12	и до конца	1	2
13	новые и новые	1	2
14	но все это	1	2
15	в этом отношении	3	2
16	в большинстве случаев	1	2
17	можно было бы	9	2
18	и в этой	1	2
19	в значительной степени	1	2
20	все это в	1	2
21	как и в	1	2
22	не должно быть	1	2
23	в свое время	2	2
24	все ее элементы	1	1
25	что иное как	1	1
26	потому что он	2	1
27	что свидетельствует о	1	1
28	все дело в	1	1
29	на самом деле	2	1
30	в том и	1	1
31	это своего рода	1	1
32	сам по себе	1	1
33	по себе и	1	1
34	но он не	1	1
35	я не мог	1	1
36	до некоторой степени	2	1
37	но вряд ли	1	1
38	на этот вопрос	2	1
39	что все это	1	1
40	и не в	1	1
41	существу она не	1	1
42	и у других	1	1
43	это не было	1	1
44	то обстоятельство что	7	1
45	не что иное	1	1
46	в данном случае	1	1
47	не только в	4	1
48	и все его	1	1
49	есть в этом	1	1
50	в году в	1	1
51	а также и	1	1
52	с помощью которого	1	1
53	и то обстоятельство	1	1
54	или ином виде	1	1
55	о том что	1	1
56	не только для	1	1
57	то же что	1	1
58	в том или	1	1
59	в связи с	3	1
60	что я не	3	1
61	по содержанию своему	1	1
62	нет никаких оснований	1	1
63	но только в	1	1
64	и кое-что от	1	1
65	том и в	1	1
66	я не без	1	1
67	в достаточной степени	1	1
68	есть не что	1	1
69	таким образом в	1	1
70	во всяком случае	5	1
71	часто и в	1	1
72	начало новой эпохи	1	1
73	и все это	1	1
74	свое время еще	1	1
75	ничего общего с	1	1
76	но и для	1	1
77	с самого начала	1	1
78	и в самом	2	1
79	к тому же	1	1
80	и прежде всего	1	1
81	находит свое выражение	1	1
82	по существу она	1	1
83	в этом смысле	5	1
84	в другом случае	1	1
85	мы не знаем	1	1
86	было бы сказать	1	1
87	в силу своей	1	1
88	и в том	2	1
89	на начало новой	1	1
90	том или ином	1	1
91	дает тот же	1	1
92	и в другом	2	1
