N	2gram	Berdyaev_M_1	VelikijI
1	великого инквизитора	5	36
2	во имя	10	32
3	великий инквизитор	1	31
4	и не	11	20
5	и в	28	16
6	свободы и	10	12
7	так как	3	9
8	то что	5	9
9	еще не	1	8
10	к богу	3	8
11	в истории	2	8
12	от бога	1	8
13	в пустыне	1	8
14	что они	1	7
15	на земле	2	7
16	а не	25	7
17	и потому	10	7
18	к людям	1	6
19	человека и	14	6
20	свободной любви	4	6
21	не есть	9	6
22	великом инквизиторе	5	5
23	но и	25	5
24	того что	7	5
25	в мире	10	5
26	в боге	3	5
27	бога и	10	5
28	все это	6	5
29	что есть	5	5
30	как бы	2	5
31	и есть	14	4
32	в образе	1	4
33	мира сего	2	4
34	добра и	5	4
35	в его	9	4
36	нет у	3	4
37	против бога	4	4
38	и я	5	4
39	в этом	20	4
40	что он	10	4
41	потому что	16	4
42	о великом	4	4
43	в нем	13	4
44	так и	1	4
45	свободы совести	3	4
46	что не	1	4
47	с богом	1	4
48	как и	5	4
49	что мы	1	4
50	смысла жизни	1	4
51	в котором	8	4
52	мировой жизни	1	4
53	в ней	15	4
54	и все	10	4
55	это еще	1	4
56	все что	2	4
57	от этого	2	3
58	этого мира	3	3
59	христос не	2	3
60	и что	2	3
61	должна быть	6	3
62	восстает против	1	3
63	счастья людей	1	3
64	к христу	1	3
65	хотя бы	3	3
66	то это	1	3
67	лишь в	6	3
68	с его	3	3
69	во всех	1	3
70	христа в	5	3
71	что и	4	3
72	в том	6	3
73	но в	7	3
74	в вопросе	1	3
75	бы и	3	3
76	все эти	2	3
77	и вечной	1	3
78	его во	1	3
79	в конце	7	3
80	имя свободы	1	3
81	в своей	15	3
82	и мы	2	3
83	в жизни	3	3
84	в них	4	3
85	не было	18	3
86	во христе	5	3
87	должно быть	3	3
88	инквизитора это	1	3
89	если не	1	3
90	всемирной истории	2	3
91	в этих	4	3
92	нет ничего	7	3
93	что во	1	3
94	в первый	1	3
95	что я	1	3
96	и против	1	3
97	не в	16	3
98	к чему	2	3
99	любовь к	2	3
100	но это	1	3
101	не имеет	3	3
102	никогда не	14	3
103	миллионов счастливых	1	3
104	личности и	1	3
105	инквизитора в	1	3
106	и для	2	3
107	к тому	3	3
108	жизни и	2	3
109	что в	10	3
