N	3gram	Medvedev_S_1	formyVre
1	в связи с	1	7
2	то же время	1	4
3	в то же	1	4
4	о том как	1	3
5	и в то	1	3
6	и в этом	1	3
7	в том что	2	3
8	то же самое	1	2
9	на первый план	1	2
10	не было бы	1	2
11	друг от друга	1	2
12	не может не	1	1
13	именно на этот	1	1
14	и наконец в	1	1
15	как то что	1	1
16	в конце концов	2	1
17	то что в	1	1
18	это вовсе не	1	1
19	конечно не в	1	1
20	только в этом	2	1
21	с одной стороны	1	1
22	и никак не	1	1
23	но только в	1	1
24	именно в том	1	1
25	бы он ни	1	1
26	выходит за пределы	1	1
27	не выходит за	1	1
28	тем более не	1	1
29	и только для	1	1
