N	3gram	Vinokur_St_2	KFilosof
1	по отношению к	1	21
2	с точки зрения	2	10
3	на самом деле	1	3
4	в котором он	1	3
5	в этом смысле	1	3
6	но и здесь	2	3
7	и в этом	2	3
8	в этом его	1	2
9	бы то ни	2	2
10	то ни было	2	2
11	ни в каком	1	2
12	то же время	1	2
13	в котором мы	1	2
14	вопрос о том	3	2
15	в то же	1	2
16	тем не менее	2	2
17	в том что	16	2
18	на то что	2	1
19	и совершенно не	1	1
20	между прочим и	1	1
21	в настоящее время	1	1
22	нет сомнения что	2	1
23	в том же	2	1
24	что и для	1	1
25	он не может	1	1
26	но все это	2	1
27	бы ни была	1	1
28	в зависимости от	1	1
29	вследствие того что	1	1
30	и именно в	1	1
31	о том кто	1	1
32	и в ту	1	1
33	вместе с тем	5	1
34	для него самого	2	1
35	того именно что	1	1
36	в известном смысле	1	1
37	не в том	2	1
38	дело в том	4	1
39	и в трагедии	1	1
40	во всяком случае	3	1
41	лежащий в основе	1	1
42	я не могу	1	1
43	и в котором	1	1
44	для того чтобы	5	1
45	вместо того чтобы	1	1
46	нет в нем	1	1
47	в значительной степени	2	1
48	там где я	1	1
49	в свою очередь	1	1
50	прочим и в	1	1
51	как бы ни	1	1
52	во второй половине	1	1
53	и принципиально не	1	1
54	него самого и	1	1
55	к тому что	5	1
56	в том смысле	2	1
57	дело не в	1	1
58	себя до конца	1	1
59	как бы он	1	1
