N	2gram	Losev_Vlad_1	Tvorches
1	и в	31	21
2	в то	8	15
3	то же	6	13
4	в его	12	13
5	времени в	2	13
6	же время	4	12
7	как и	4	12
8	то есть	3	12
9	что в	14	12
10	м м	15	11
11	с его	11	11
12	том что	14	11
13	все это	5	10
14	как в	3	8
15	он не	10	8
16	то что	18	8
17	при этом	2	7
18	тем самым	2	7
19	у него	15	7
20	и не	17	7
21	в том	11	7
22	и на	3	7
23	в году	30	7
24	но в	12	7
25	во многом	2	7
26	не только	24	7
27	в свою	1	7
28	о том	11	6
29	не менее	2	6
30	и все	4	6
31	а в	9	6
32	он сам	2	6
33	жизни в	1	6
34	для него	7	6
35	в этом	14	6
36	в котором	6	6
37	и его	7	6
38	что он	12	6
39	человека в	1	6
40	все же	3	5
41	таким образом	3	5
42	вовсе не	5	5
43	хотя бы	2	5
44	а не	1	5
45	м с	4	5
46	потому что	11	5
47	отнюдь не	3	5
48	в этой	4	5
49	только в	9	5
50	в своих	5	5
51	может быть	6	5
52	это уже	1	5
53	но это	3	5
54	одним из	2	4
55	в целом	3	4
56	прежде всего	1	4
57	на эту	1	4
58	в своей	4	4
59	не имеют	1	4
60	это не	1	4
61	в момент	2	4
62	мысли и	4	4
63	в петербурге	8	4
64	одной из	2	4
65	и от	5	4
66	один из	4	4
67	с большой	1	4
68	и как	4	4
69	в основном	1	4
70	не может	6	4
71	в своем	4	4
72	в которой	4	3
73	на его	3	3
74	и с	14	3
75	место в	2	3
76	жизни и	5	3
77	говорит о	1	3
78	так же	1	3
79	не по	2	3
80	просто не	2	3
81	в виде	3	3
82	с ним	5	3
83	в нем	4	3
84	даже в	2	3
85	что все	2	3
86	и другие	1	3
87	что я	2	3
88	не существует	1	3
89	там же	13	3
90	в их	1	3
91	со всеми	1	3
92	на протяжении	1	3
93	но не	3	3
94	что человек	1	3
95	того что	2	3
96	и т	2	3
97	но если	1	3
98	на самом	1	3
99	в дальнейшем	8	3
100	но и	19	3
101	и даже	15	3
102	хотя и	4	3
103	и других	2	3
104	в россии	4	3
105	дело не	2	3
106	с ее	1	3
107	это и	2	3
108	ее в	1	3
109	представляет собой	1	3
110	дело в	4	3
111	той же	2	3
112	уже не	3	3
113	ту же	1	3
114	по мнению	1	3
115	в каждом	1	3
116	вот почему	1	3
117	который в	1	3
118	в самом	2	3
119	он говорит	2	3
120	воли и	2	3
121	далеко не	1	3
122	представление о	1	3
123	с другой	3	3
124	не был	5	3
125	никогда не	9	3
126	я не	4	3
127	и по	8	3
128	уже в	7	3
129	этой книги	1	3
130	так как	8	3
131	с самого	1	3
132	не мог	3	2
133	во имя	1	2
134	в себе	4	2
135	в в	3	2
136	но она	3	2
137	и того	1	2
138	представлений о	1	2
139	можно сказать	6	2
140	вместе с	3	2
141	его как	1	2
142	когда человек	1	2
143	о котором	2	2
144	в литературе	1	2
145	больше чем	2	2
146	не будет	1	2
147	что как	1	2
148	в с	1	2
149	в настоящем	1	2
150	это время	3	2
151	личности в	1	2
152	и он	3	2
153	одновременно и	1	2
154	где он	2	2
155	в жизни	3	2
156	и у	4	2
157	него есть	1	2
158	мировоззрения и	1	2
159	настоящее время	1	2
160	с темой	1	2
161	было в	1	2
162	которого он	2	2
163	не в	5	2
164	ли с	1	2
165	личности и	1	2
166	и добра	1	2
167	так что	10	2
168	человека с	1	2
169	тот же	3	2
170	об этом	7	2
171	так сказать	1	2
172	то в	1	2
173	но он	5	2
174	влияние на	1	2
175	за то	1	2
176	первом плане	1	2
177	есть не	1	2
178	но только	3	2
179	человека как	3	2
180	к жизни	2	2
181	в одной	1	2
182	что она	2	2
183	свидетельствует о	3	2
184	т ii	3	2
185	к тому	3	2
186	к ней	4	2
187	с принципами	1	2
188	в этих	1	2
189	и мир	1	2
190	не во	1	2
191	а г	1	2
192	слова из	1	2
