N	3gram	Medvedev_F_2	Problema
1	и т п	9	13
2	не может быть	10	11
3	в художественном творчестве	1	9
4	с точки зрения	7	6
5	в отличие от	2	5
6	в высшей степени	4	5
7	в его целом	1	5
8	и прежде всего	2	5
9	в большинстве случаев	3	5
10	не входит в	2	4
11	в данном случае	1	4
12	в м жирмунского	1	4
13	в художественном произведении	1	4
14	с другой стороны	3	4
15	в противном случае	1	3
16	на самом деле	3	3
17	в самом деле	5	3
18	в этом смысле	2	3
19	не выходя за	1	3
20	за пределы произведения	1	3
21	бы то ни	1	3
22	в применении к	2	3
23	с одной стороны	1	3
24	как мы увидим	1	3
25	то же время	5	3
26	в том что	2	3
27	в то же	5	3
28	тем не менее	1	3
29	там где оно	1	2
30	в чем не	1	2
31	в какой мере	2	2
32	не следует что	2	2
33	как и для	1	2
34	этом смысле мы	1	2
35	на первый план	2	2
36	но и в	3	2
37	ни в чем	2	2
38	русский формальный метод	2	2
39	и не может	3	2
40	то или иное	1	2
41	основных понятий и	2	2
42	и в то	3	2
43	не могут быть	4	2
44	выходя за пределы	1	2
45	всех своих моментах	1	2
46	могут быть поняты	1	2
47	не совпадает с	1	2
48	того или иного	4	2
49	во всех своих	1	2
50	но совершенно не	1	2
51	так и в	3	2
52	как явление языка	1	2
53	и тем самым	1	2
54	в известной степени	1	2
55	для того чтобы	3	2
56	в этом отношении	7	2
57	дело обстоит не	1	1
58	бы в пределах	1	1
59	именно в том	1	1
60	высшей степени характерно	1	1
61	что иное как	1	1
62	следует отметить что	1	1
63	в других областях	1	1
64	в в виноградова	2	1
65	отнюдь не в	1	1
66	следует однако отметить	1	1
67	иметь в виду	1	1
68	а вовсе не	1	1
69	в виду что	1	1
70	тем что оно	2	1
71	в свою очередь	1	1
72	и исторической жизни	1	1
73	не говоря уже	1	1
74	в этом последнем	1	1
75	в настоящее время	1	1
76	и пр в	1	1
77	с другими областями	1	1
78	можно и должно	3	1
79	во что бы	1	1
80	более того можно	1	1
81	до сих пор	1	1
82	говоря уже о	1	1
83	и в других	1	1
84	от одного к	1	1
85	до известной степени	3	1
86	и должна быть	1	1
87	сами по себе	2	1
88	отнюдь не следует	2	1
89	вследствие того что	1	1
90	не было бы	1	1
91	может быть конечно	1	1
92	по аналогии с	1	1
93	с тем что	5	1
94	в поэтическом произведении	1	1
95	называемый формальный метод	1	1
96	с самим собою	1	1
97	может быть и	3	1
98	и не в	2	1
99	может быть понят	1	1
100	и иной чем	1	1
101	качественной стороны звукового	1	1
102	что бы то	1	1
103	имеет место и	1	1
104	в значительной степени	3	1
105	отсюда отнюдь не	2	1
106	именно на эту	1	1
107	не что иное	1	1
108	иной чем в	1	1
109	в другом направлении	1	1
110	то чем является	1	1
111	но в то	1	1
112	и в его	1	1
113	значительной степени и	1	1
114	смысле этого слова	1	1
115	то ни стало	2	1
116	с помощью которого	1	1
117	и в этом	5	1
118	однако отметить что	1	1
119	чем не выходя	1	1
120	слова в поэзии	1	1
121	не в том	3	1
122	на один шаг	2	1
123	в связи с	10	1
124	при этом условии	1	1
125	и понять его	1	1
126	становится как бы	1	1
127	в том смысле	3	1
128	не для того	1	1
129	хотя и иной	1	1
130	в том как	1	1
131	поэтического языка как	8	1
132	не чем иным	1	1
133	с его помощью	2	1
134	и смысла в	1	1
135	где оно не	1	1
136	в области наук	1	1
137	в узком смысле	1	1
138	есть не что	1	1
139	художественного произведения в	2	1
140	таким образом в	1	1
141	одного к другому	1	1
142	чем иным как	1	1
143	раз и навсегда	1	1
144	ведь в противном	1	1
145	языка для понимания	1	1
146	равно как и	1	1
147	к предмету но	1	1
148	том смысле что	2	1
149	здесь не может	1	1
150	его отношение к	1	1
151	это и есть	1	1
152	и т д	5	1
153	дело идет о	2	1
154	хотя бы в	3	1
155	особенности поэтического языка	2	1
156	место и в	1	1
157	может быть признана	1	1
158	в поэзии язык	1	1
159	языка как такового	5	1
160	в самом широком	1	1
161	иметь место в	1	1
162	области наук об	1	1
163	к тому что	2	1
164	противном случае мы	1	1
165	к вопросу о	1	1
166	в искусстве есть	1	1
167	материала в его	1	1
168	так называемый формальный	1	1
169	этой тенденции является	1	1
170	языка в поэзии	1	1
171	она не может	1	1
172	как и в	1	1
173	на этот вопрос	1	1
174	отметить что в	1	1
175	его целом ни	1	1
