N	2gram	Losev_Prob_5	Retstnzi
1	не может	5	4
2	и в	30	3
3	один из	2	2
4	если в	1	2
5	нет и	1	1
6	и можно	1	1
7	и не	12	1
8	тому что	1	1
9	не только	18	1
10	связи с	7	1
11	бы на	2	1
12	точки зрения	10	1
13	но и	13	1
14	и должно	1	1
15	не менее	5	1
16	тех же	1	1
17	ничего кроме	1	1
18	именно с	1	1
19	в ней	3	1
20	впадает в	1	1
21	с теми	1	1
22	на месте	2	1
23	в то	4	1
24	с точки	8	1
25	и на	6	1
26	сравнении с	3	1
27	искусство как	1	1
28	на нее	1	1
29	к тому	2	1
30	а не	5	1
31	может быть	7	1
32	несмотря на	6	1
33	в его	12	1
34	он в	3	1
35	же время	1	1
36	то же	2	1
37	и все	9	1
38	из этих	1	1
39	бы в	1	1
