N	3gram	Ircho_Kome_1	Tvorches
1	в то же	4	13
2	то же время	4	12
3	в том что	9	6
4	о том что	3	5
5	что все это	1	3
6	в соответствии с	1	3
7	с самого начала	1	3
8	том что в	1	2
9	и т п	5	2
10	в данном случае	1	2
11	не только в	1	2
12	на протяжении всего	2	2
13	тем не менее	1	2
14	что иное как	1	1
15	да и в	1	1
16	хотя и не	1	1
17	вслед за ними	1	1
18	чуть ли не	1	1
19	как один из	1	1
20	то же самое	2	1
21	в том же	1	1
22	что же касается	1	1
23	в отрыве от	1	1
24	те и другие	1	1
25	по отношению к	3	1
26	в эти годы	2	1
27	до сих пор	2	1
28	что он не	1	1
29	в отличие от	1	1
30	у него не	1	1
31	в первую очередь	2	1
32	а может быть	1	1
33	для этого случая	1	1
34	бы то ни	2	1
35	это вовсе не	1	1
36	в году он	1	1
37	вместе с тем	1	1
38	в этой области	1	1
39	одного из них	1	1
40	то ни было	2	1
41	с одной стороны	3	1
42	в конце концов	4	1
43	но при этом	1	1
44	и в их	1	1
45	из них он	1	1
46	что у него	1	1
47	не заметить что	1	1
48	бросается в глаза	1	1
49	не мог не	1	1
50	и вот в	1	1
51	не означает что	1	1
52	же время для	1	1
53	нельзя не заметить	1	1
54	с другой стороны	5	1
55	не что иное	1	1
56	к тому что	1	1
57	в отношении к	1	1
58	свое завершение в	1	1
59	как и в	2	1
60	и те и	1	1
61	к тому же	5	1
62	и т д	4	1
