N	2gram	Propp_Russ_2	EvropaiE
1	и в	29	37
2	в пределах	1	25
3	что в	22	21
4	не только	10	18
5	в то	2	16
6	то же	4	15
7	в своем	1	14
8	но в	5	14
9	в качестве	3	14
10	но и	8	14
11	и не	1	14
12	в этом	11	12
13	в их	2	11
14	в том	22	11
15	с и	1	10
16	так и	1	10
17	отнюдь не	1	9
18	только в	1	9
19	прежде всего	2	9
20	не может	5	9
21	так же	4	9
22	т е	24	9
23	в ее	3	8
24	было бы	3	8
25	в своей	2	8
26	между тем	3	8
27	с одной	2	8
28	одной стороны	2	8
29	а также	4	7
30	того что	3	7
31	так как	13	7
32	с другой	2	7
33	как и	11	7
34	по своему	1	7
35	может быть	13	6
36	и на	6	6
37	во всех	3	6
38	стороны и	1	6
39	на то	1	6
40	том что	22	6
41	того чтобы	6	6
42	для того	6	6
43	и даже	1	6
44	как бы	18	6
45	с этой	2	6
46	то что	5	6
47	же как	4	5
48	но не	5	5
49	не в	4	5
50	и по	3	5
51	но если	3	5
52	как мы	3	5
53	в виде	4	5
54	от этого	1	5
55	и потому	1	5
56	в течение	2	5
57	мы не	6	4
58	вопрос о	4	4
59	в полной	1	4
60	в ней	1	4
61	независимо от	1	4
62	в самом	1	4
63	во многих	9	4
64	того или	1	4
65	несмотря на	1	4
66	чем в	2	4
67	из числа	1	4
68	не имеет	3	4
69	и притом	1	4
70	к ней	2	4
71	можно сказать	1	4
72	тем более	1	4
73	именно в	4	4
74	не на	1	4
75	как это	4	4
76	западной европе	1	4
77	для нас	6	4
78	сказать что	1	4
79	в применении	1	3
80	на себя	2	3
81	как в	7	3
82	когда он	1	3
83	представляет собой	2	3
84	но на	1	3
85	вообще не	1	3
86	не будет	1	3
87	в них	4	3
88	с тем	6	3
89	мы видели	7	3
90	она в	1	3
91	в которых	4	3
92	дело в	1	3
93	никогда не	2	3
94	потому что	5	3
95	во все	1	3
96	можно было	2	3
97	о том	9	3
98	от них	1	3
99	место в	1	3
100	что и	2	3
101	в стороне	2	3
102	всяком случае	1	3
103	в данной	1	3
104	из них	4	3
105	очевидно что	2	3
106	себе в	1	3
107	к ним	1	3
108	на долю	1	3
109	тем что	3	3
110	этом отношении	1	3
111	по своим	1	3
112	в свою	1	3
113	говорит о	2	3
114	связано с	2	3
115	там где	2	3
116	в данном	6	3
117	применении к	1	3
118	не является	1	3
119	и для	2	3
120	и от	3	3
121	не более	1	3
122	жизни в	2	3
123	это так	1	3
124	ее в	8	3
125	как на	1	3
126	в таком	4	3
127	во всяком	1	3
128	и то	2	2
129	другие народы	1	2
130	что эти	1	2
131	с в	8	2
132	что если	1	2
133	из того	1	2
134	которое в	2	2
135	на них	4	2
136	между собой	2	2
137	и чем	1	2
138	с этим	2	2
139	хотя и	1	2
140	и как	2	2
141	есть ли	1	2
142	можно в	1	2
143	что это	3	2
144	чем больше	1	2
145	в этой	3	2
146	что к	1	2
147	выход на	1	2
148	и если	1	2
149	как оно	2	2
150	главным образом	3	2
151	и еще	2	2
152	таким образом	6	2
153	и с	10	2
154	с другими	3	2
155	для них	2	2
156	далеко не	4	2
157	нас к	3	2
158	в своих	2	2
159	в развитии	1	2
160	такой же	1	2
161	в эту	3	2
162	в этих	3	2
163	или точнее	1	2
164	в котором	3	2
165	представление о	5	2
166	не к	2	2
