N	3gram	Savitsky_E_1	FransuaR
1	в то же	15	6
2	то же время	14	6
3	с точки зрения	16	5
4	не только в	4	5
5	в эту эпоху	1	4
6	но и в	1	4
7	не может быть	2	4
8	в этом отношении	3	3
9	но в то	2	3
10	с одной стороны	8	3
11	в большей или	1	3
12	или меньшей степени	1	3
13	большей или меньшей	1	3
14	с другой стороны	2	3
15	можно сказать что	3	2
16	в значительной степени	1	2
17	было связано с	1	2
18	и в то	8	2
19	по сравнению с	2	2
20	во всяком случае	3	2
21	неправильно думать что	1	2
22	как мы видели	2	2
23	и в начале	1	2
24	и связанное с	1	1
25	еще далеко не	1	1
26	культуры и в	1	1
27	прежде всего в	2	1
28	дело в том	1	1
29	также и в	1	1
30	в течение года	1	1
31	но и во	1	1
32	что для него	1	1
33	в том же	1	1
34	то есть к	1	1
35	одной стороны и	6	1
36	тех случаях когда	1	1
37	в одной из	1	1
38	же время в	1	1
39	во всех перечисленных	1	1
40	и та же	1	1
41	то что в	2	1
42	к тому или	1	1
43	не относится к	1	1
44	связанное с ним	1	1
45	в значительной мере	1	1
46	в самом процессе	1	1
47	есть то что	1	1
48	может дать ей	1	1
49	бы неправильно думать	1	1
50	было бы неправильно	1	1
51	и тот же	1	1
52	она никогда не	1	1
53	так и в	2	1
54	и в отношении	1	1
55	там где в	1	1
56	друг с другом	3	1
57	и приближаются к	1	1
58	и будущего в	1	1
59	не могут быть	1	1
60	одна и та	1	1
61	не может дать	1	1
62	но не только	2	1
63	мы видели что	1	1
64	один и тот	1	1
65	в тех случаях	1	1
66	того или иного	4	1
67	как и всякая	1	1
68	вовсе не в	1	1
69	но также и	1	1
70	мы можем сказать	2	1
71	можем сказать что	1	1
72	выходит за пределы	1	1
73	и прежде всего	3	1
74	но в отношении	1	1
75	на то что	2	1
76	во второй половине	2	1
77	в большинстве случаев	2	1
78	как не может	1	1
79	для того чтобы	5	1
80	в себе в	1	1
81	в том что	6	1
82	то есть в	1	1
83	только тогда когда	1	1
