N	2gram	Medvedev_S_1	Dialekti
1	и не	1	30
2	и есть	1	19
3	ничего не	1	17
4	может быть	2	17
5	то что	2	16
6	стало быть	1	15
7	и в	3	15
8	как бы	2	14
9	что это	1	13
10	по себе	1	13
11	это не	1	12
12	в этом	5	11
13	в том	5	11
14	прежде всего	1	11
15	не может	1	11
16	том что	2	10
17	это и	2	9
18	то же	2	9
19	мы не	1	9
20	было бы	2	9
21	и что	2	9
22	все это	7	9
23	в чем	1	8
24	не в	3	8
25	не только	3	8
26	и о	1	8
27	это значит	1	8
28	должна быть	2	7
29	и мы	2	7
30	как и	1	7
31	по крайней	1	7
32	ровно ничего	1	7
33	и его	1	7
34	только в	2	7
35	крайней мере	1	7
36	что он	1	7
37	что в	2	7
38	перед нами	1	6
39	в то	1	6
40	же время	1	6
41	вовсе не	1	6
42	в результате	2	6
43	тем более	2	6
44	ни на	1	6
45	в сущности	1	5
46	только тогда	1	5
47	сама по	1	5
48	что она	1	5
49	же это	1	5
50	но только	1	5
51	таким образом	2	5
52	как только	2	5
53	о том	1	5
54	так и	1	5
55	именно в	1	5
56	как же	3	5
57	в смысле	2	5
58	хотя бы	1	4
59	в этой	1	4
60	и как	1	4
61	и стало	1	4
62	в силу	1	4
63	что все	1	4
64	еще не	2	4
65	в его	3	4
66	мы должны	1	4
67	отнюдь не	1	4
68	один из	1	4
69	бы в	1	4
70	или не	1	4
71	но и	2	4
72	и наконец	1	3
73	все эти	1	3
74	в данном	1	3
75	в своей	1	3
76	только для	1	3
77	более не	1	3
78	тотчас же	1	3
79	в виде	1	3
80	в области	1	3
81	за пределы	2	3
82	на основании	1	3
83	и потому	1	3
84	или нет	1	3
85	с ним	1	3
86	диалектический материализм	2	2
87	бы видеть	1	2
88	но как	1	2
89	и будет	1	2
90	все же	1	2
91	на все	1	2
92	но именно	1	2
93	в них	1	2
94	не мешает	1	2
95	между собою	1	2
96	наука но	1	2
97	том как	1	2
98	в котором	1	2
99	никогда не	1	2
100	и по	1	2
101	она должна	1	2
102	как будто	2	2
103	что на	1	2
104	на что	1	2
105	для этого	1	2
106	даже не	1	2
107	никак не	1	2
108	эти два	1	2
109	и только	3	2
110	конечно не	1	2
111	не дает	1	2
112	тем что	1	2
113	не было	1	2
114	в частности	2	2
115	что личность	1	2
116	мы еще	1	2
117	быть не	1	2
118	это как	1	2
119	главным образом	2	2
120	во всяком	1	2
121	а между	1	1
122	именно и	1	1
123	и должны	1	1
124	дело не	2	1
125	положения в	1	1
126	но она	1	1
127	от друга	1	1
128	может не	1	1
129	первый план	1	1
130	где же	1	1
131	очевидно что	2	1
132	друг от	1	1
133	как то	1	1
134	но ведь	3	1
135	не пошел	1	1
136	и более	1	1
137	и заключается	2	1
138	же не	1	1
139	нельзя мыслить	1	1
140	его в	1	1
141	новое и	1	1
142	переходим к	1	1
143	исследования так	1	1
144	место в	1	1
145	не от	1	1
146	и какие	1	1
147	не должна	1	1
148	даже в	1	1
149	это дает	1	1
150	в процессе	1	1
151	слова но	1	1
152	в труде	1	1
153	связи с	1	1
154	а в	1	1
155	когда мы	1	1
156	ли не	1	1
157	этого и	1	1
158	данный субъект	1	1
159	не наука	1	1
160	только то	1	1
161	эстетику и	1	1
162	невозможно никакое	1	1
163	те же	1	1
164	по природе	2	1
165	образом в	1	1
166	и должно	1	1
167	нашей работы	1	1
168	с одной	1	1
169	поставить и	1	1
170	мы понимаем	1	1
171	должно было	1	1
172	жизни он	1	1
173	в лучшем	1	1
174	в него	1	1
175	наукой в	1	1
176	какой же	1	1
177	развивается сама	1	1
178	именно на	1	1
179	без этого	1	1
180	мы переходим	1	1
181	что данный	1	1
182	наука о	1	1
183	в конце	2	1
184	не из	1	1
185	границы и	1	1
186	индивидуальность и	1	1
187	с другой	1	1
188	исторического развития	2	1
189	на ней	1	1
190	на этот	1	1
191	далеко еще	1	1
192	в связи	1	1
193	можно будет	1	1
194	и самые	1	1
195	нет а	1	1
196	в область	1	1
197	по существу	2	1
198	лучшем случае	1	1
199	в наше	1	1
200	в заключение	1	1
201	объекта и	1	1
202	она может	2	1
203	на первый	1	1
204	из себя	1	1
205	конце концов	2	1
206	из тех	1	1
207	я и	1	1
