N	2gram	Berdyaev_V_1	Literetu
1	не только	2	24
2	но и	5	17
3	в том	3	16
4	а не	7	16
5	том что	2	14
6	тогда как	1	13
7	может быть	1	13
8	и не	20	12
9	в этом	4	12
10	в своем	1	11
11	прежде всего	2	11
12	то что	9	10
13	в целом	1	8
14	не в	3	8
15	и в	16	8
16	только в	2	8
17	как это	1	8
18	я не	1	7
19	отказ от	1	7
20	как бы	5	7
21	в его	4	7
22	уже не	2	7
23	и я	4	6
24	то есть	1	6
25	как и	4	6
26	и сам	2	6
27	того что	5	6
28	в жизни	3	6
29	то же	1	5
30	как в	1	5
31	для себя	1	5
32	что он	4	5
33	уже в	1	5
34	с этой	1	5
35	я в	1	5
36	с его	3	5
37	в своей	3	4
38	еще не	8	4
39	но не	2	4
40	в этой	1	4
41	все же	1	4
42	перестает быть	1	4
43	лишь в	3	4
44	ведет к	1	4
45	никогда не	3	4
46	так и	4	4
47	и тем	1	4
48	в конце	3	4
49	это не	2	4
50	в своих	1	4
51	и есть	4	3
52	самого себя	2	3
53	более чем	2	3
54	в самом	1	3
55	в их	1	3
56	но в	3	3
57	одна из	2	3
58	всего в	2	3
59	в виду	1	3
60	один из	2	3
61	потому что	4	3
62	у него	1	3
63	с другой	1	3
64	еще и	1	3
65	не было	3	3
66	сознания от	2	3
67	мира в	2	3
68	да и	2	3
69	жизни и	3	3
70	что в	3	3
71	а в	2	3
72	свободы от	3	3
73	же и	1	3
74	во всяком	2	3
75	человека и	6	2
76	и то	2	2
77	должна быть	3	2
78	от всякой	1	2
79	на себя	5	2
80	то это	3	2
81	во мне	4	2
82	во имя	32	2
83	и нет	1	2
84	все эти	3	2
85	в нем	4	2
86	поскольку он	1	2
87	не к	2	2
88	нашего времени	1	2
89	на этом	1	2
90	для них	2	2
91	мы в	1	2
92	жизни с	1	2
93	что я	3	2
94	освободиться от	1	2
95	раз и	1	2
96	ничего кроме	1	2
97	жизни не	1	2
98	реакция на	1	2
99	в сознании	1	2
100	могут быть	2	2
101	к тому	3	2
102	в себя	2	2
103	роль в	1	2
104	на том	2	2
105	в мире	5	2
106	освобождения от	2	2
107	мир и	2	2
108	между тем	2	2
109	и вечному	1	2
110	хотя бы	3	2
111	их не	1	2
112	по этому	3	2
113	то и	1	2
114	человеческого духа	1	2
115	что не	4	2
116	для него	2	2
117	а потому	1	2
118	не случайно	1	2
119	тем что	2	2
120	нового времени	1	2
121	превращается в	3	2
122	нет ничего	3	2
123	если оно	1	2
124	можно было	2	2
125	это как	1	2
126	которая в	1	2
127	личность не	1	2
128	не есть	6	2
129	о своем	1	2
130	в искусстве	1	2
131	если б	1	1
132	кто бы	1	1
133	по которым	2	1
134	свое место	1	1
135	есть такое	1	1
136	и за	2	1
137	есть не	1	1
138	мы не	2	1
139	вопрос о	1	1
140	и новые	2	1
141	почему мы	1	1
142	не была	1	1
143	зависимости от	1	1
144	он был	1	1
145	бы то	1	1
146	в чем	3	1
147	но как	1	1
148	сознания не	1	1
149	отношение к	1	1
150	и будет	3	1
151	не просто	1	1
152	что они	7	1
153	его на	1	1
154	сам великий	1	1
155	могли бы	1	1
156	которой жизнь	1	1
157	на нас	2	1
158	духа и	2	1
159	в противоположность	1	1
160	со своей	1	1
161	в которой	1	1
162	тебя так	1	1
163	его если	1	1
164	по словам	1	1
165	все тот	2	1
166	от которого	3	1
167	в понимании	1	1
168	и осмысленной	1	1
169	и вот	1	1
170	и по	1	1
171	имя свободы	3	1
172	но все	1	1
173	человека в	1	1
174	же пути	1	1
175	то ни	1	1
176	помыслить о	1	1
177	и с	1	1
178	его личности	1	1
179	в глазах	1	1
180	и мы	3	1
181	религиозного сознания	5	1
182	в них	3	1
183	в ее	1	1
184	с тем	2	1
185	не всегда	1	1
186	и уже	1	1
187	разрыва и	1	1
188	с такой	1	1
189	должно быть	3	1
190	в пустоту	1	1
191	в этих	3	1
192	места в	1	1
193	демоническое самоутверждение	1	1
194	что от	2	1
195	этому пути	2	1
196	последней своей	1	1
197	в которых	1	1
198	тот кто	2	1
199	по крайней	1	1
200	абсолютная истина	1	1
201	не могли	2	1
202	вовсе не	1	1
203	что есть	5	1
204	во главе	2	1
205	она не	1	1
206	человечества и	3	1
207	другом но	1	1
208	не имеет	3	1
209	со свободой	1	1
210	на него	1	1
211	говорить о	4	1
212	есть путь	1	1
213	это еще	4	1
214	в день	1	1
215	это мы	2	1
216	на котором	1	1
217	карамазова и	1	1
218	и всегда	1	1
219	другой стороны	1	1
220	для нас	2	1
221	уже и	1	1
222	вот в	1	1
223	и говорит	1	1
224	отказаться от	1	1
225	как мы	1	1
226	людей в	3	1
227	превращает в	1	1
228	и от	1	1
229	к жизни	1	1
230	на нее	1	1
231	он говорит	1	1
232	на путь	1	1
233	быть может	1	1
234	в словах	1	1
235	в третьем	1	1
236	но может	1	1
237	никогда и	1	1
238	не был	1	1
239	ценности и	2	1
240	и что	3	1
241	и который	1	1
242	своей абсолютной	1	1
243	других людей	1	1
244	все в	1	1
245	к нему	1	1
246	во всех	3	1
247	ее от	1	1
248	от них	1	1
249	и во	2	1
250	смертью и	1	1
251	крайней мере	1	1
252	вслед за	2	1
253	к личности	4	1
254	существует как	1	1
255	тот же	3	1
256	любовь есть	1	1
257	бы ни	1	1
258	для самоутверждения	1	1
259	в новых	1	1
260	это ни	1	1
261	самой жизни	1	1
262	в виде	1	1
263	сознания так	1	1
264	не личное	1	1
265	за ним	3	1
266	чего бы	1	1
267	не так	2	1
268	в котором	4	1
269	в одном	1	1
270	не для	1	1
271	себя от	1	1
272	так как	9	1
273	бы это	1	1
274	любит и	1	1
275	что и	3	1
276	смысла жизни	4	1
277	как сам	1	1
278	может и	1	1
279	истина и	1	1
280	хоть и	1	1
281	я был	1	1
282	бытия в	1	1
283	а с	2	1
284	себя и	1	1
285	и внешнее	1	1
286	в бытии	1	1
287	если не	3	1
288	между собою	1	1
289	я говорю	2	1
290	и если	1	1
291	него в	1	1
292	быть от	1	1
293	жизни но	1	1
294	которым это	1	1
295	и на	1	1
296	и пусть	1	1
297	бунт против	1	1
298	в мир	1	1
299	с тобой	2	1
300	в состоянии	1	1
301	общественной жизни	1	1
302	себя с	1	1
303	боролся с	1	1
304	на тайне	1	1
305	уже на	2	1
306	в силах	4	1
307	а к	2	1
308	от него	2	1
309	и все	4	1
310	у них	1	1
311	погибнет а	1	1
312	и развитием	1	1
313	жизни в	1	1
314	свободы а	1	1
315	в трех	1	1
316	в роли	1	1
317	вместе с	1	1
318	есть свобода	1	1
319	к этому	1	1
320	значение в	1	1
321	все что	4	1
322	они не	1	1
