N	4gram	Bakhtin_sl_2	FransuaR
1	в том числе и	1	7
2	в той или иной	3	5
3	как мы уже сказали	1	3
4	как мы уже говорили	1	2
5	в средние века и	1	2
6	всегда в той или	1	2
7	средние века и в	1	2
8	и не может быть	1	1
9	всегда включает в себя	1	1
10	и в новое время	2	1
11	в то же время	4	1
12	и др то есть	1	1
13	все более и более	1	1
14	точки зрения на мир	1	1
15	и в значительной степени	1	1
16	во всяком случае не	1	1
17	в xvii и xviii	1	1
18	по себе никогда не	1	1
19	в основе его лежит	1	1
20	той или иной степени	3	1
21	еще раз подчеркнуть что	1	1
22	в том что он	1	1
23	но в то же	3	1
24	xvii и xviii веках	1	1
