N	2gram	Trubetskoy_1	DiskursI
1	в себе	6	19
2	при этом	3	17
3	в этом	15	16
4	как и	1	16
5	состоит в	2	16
6	и в	26	16
7	в качестве	3	16
8	может быть	10	16
9	и не	8	15
10	а не	5	14
11	отличие от	1	12
12	то есть	4	12
13	в отличие	1	12
14	тогда как	1	11
15	но в	7	11
16	представляет собой	3	11
17	в мире	5	11
18	но и	9	11
19	не только	10	10
20	том что	7	10
21	так и	6	9
22	не может	4	9
23	как в	1	8
24	в том	11	8
25	а также	2	8
26	но не	8	7
27	в данном	1	7
28	в рамках	3	7
29	в нем	4	7
30	ни в	1	7
31	не менее	3	7
32	прежде всего	2	7
33	то же	4	6
34	еще не	2	6
35	с его	2	6
36	данном случае	1	6
37	себя в	1	6
38	все же	6	6
39	в своей	1	6
40	по своей	2	6
41	в своих	1	6
42	и на	2	5
43	в своем	3	5
44	в то	4	5
45	с другой	8	5
46	же время	2	5
47	что в	9	5
48	для него	3	5
49	то что	7	5
50	а с	7	5
51	ни к	1	5
52	по отношению	1	4
53	в этой	4	4
54	роль в	1	4
55	человека в	1	4
56	потому что	7	4
57	этом отношении	2	4
58	о том	6	4
59	картина мира	1	4
60	одного из	1	4
61	времени в	1	4
62	с одной	7	4
63	одно из	2	4
64	в одном	3	4
65	одной стороны	7	4
66	как бы	12	4
67	не является	1	4
68	мира и	1	4
69	точки зрения	13	4
70	к его	2	4
71	к этому	3	4
72	отношению к	3	4
73	можно назвать	2	4
74	в строгом	1	3
75	и ее	1	3
76	к жизни	5	3
77	и как	3	3
78	и наконец	2	3
79	все эти	6	3
80	всей своей	1	3
81	из этих	10	3
82	он не	4	3
83	не следует	1	3
84	его в	1	3
85	это не	1	3
86	соответствии с	1	3
87	одного и	1	3
88	в этих	4	3
89	в котором	4	3
90	одном из	1	3
91	не в	2	3
92	мире и	1	3
93	могут быть	1	3
94	той или	2	3
95	мысль о	2	3
96	приводит к	2	3
97	в его	5	3
98	только в	4	3
99	и его	1	3
100	уже не	3	3
101	из них	7	3
102	в них	2	3
103	из двух	1	3
104	или иной	2	3
105	не было	2	3
106	мира в	1	3
107	было в	1	3
108	можно сказать	3	3
109	но это	1	3
110	и того	1	3
111	и все	2	3
112	жизни а	1	3
113	жизни и	2	3
114	как на	8	3
115	же как	3	2
116	того же	6	2
117	и это	2	2
118	идет о	1	2
119	той же	1	2
120	место в	1	2
