N	3gram	Potebnia_M_3	formyVre
1	то же время	5	9
2	как мы уже	1	8
3	и т п	2	8
4	в то же	5	6
5	для того чтобы	3	5
6	и в других	1	4
7	по отношению к	5	3
8	до сих пор	3	3
9	в этом отношении	2	3
10	может быть только	3	3
11	одно и то	5	3
12	с нашей точки	1	3
13	не может быть	3	3
14	в то время	4	3
15	и то же	5	3
16	в чем не	1	2
17	то есть не	4	2
18	равно как и	1	2
19	мы уже сказали	1	2
20	понятно что в	1	2
21	одной стороны и	1	2
22	в строгом смысле	1	2
23	но и в	4	2
24	вместе с тем	4	2
25	же что и	1	2
26	то время как	1	2
27	не только в	4	2
28	с одной стороны	3	2
29	в буквальном смысле	2	2
30	все то что	1	2
31	это то есть	1	2
32	в том что	16	2
33	как и в	2	2
34	к тому же	1	2
35	и может быть	2	1
36	в самом деле	1	1
37	то время когда	1	1
38	в том же	2	1
39	то есть к	3	1
40	этот образ и	1	1
41	потому что не	3	1
42	но все это	1	1
43	сами по себе	1	1
44	то время в	1	1
45	здесь только на	1	1
46	с тем и	2	1
47	и человеческой жизни	1	1
48	из сказанного ясно	1	1
49	и совсем не	1	1
50	то должны будем	1	1
51	сказанного ясно что	1	1
52	со всех сторон	1	1
53	время в его	1	1
54	человеческой жизни не	2	1
55	в данном случае	1	1
56	в первый раз	1	1
57	таким образом и	1	1
58	если бы эти	1	1
59	смысле этого слова	7	1
60	так и в	2	1
61	с этим в	1	1
62	не могут быть	2	1
63	но вместе с	2	1
64	для себя и	1	1
65	он не знает	1	1
66	здесь не только	1	1
67	что касается до	1	1
68	как в самом	1	1
69	в том самом	1	1
70	было бы не	1	1
71	и в том	2	1
72	бросается в глаза	1	1
73	и в словах	1	1
74	те же что	1	1
75	что происходит в	1	1
76	то увидим что	1	1
77	она входит в	1	1
78	в свою очередь	3	1
79	читать про себя	1	1
80	если бы например	2	1
81	о том что	1	1
82	есть одно из	2	1
83	и в самом	2	1
84	что и при	1	1
85	так же мало	1	1
86	можно бы было	1	1
87	сама по себе	2	1
88	друг с другом	1	1
89	друг другу но	1	1
90	для нас не	1	1
91	здесь как и	1	1
92	в себе не	2	1
