N	3gram	Voloshinov_2	Tvorches
1	в то же	8	7
2	то же время	8	7
3	в соответствии с	1	4
4	до сих пор	3	3
5	по отношению к	8	3
6	не может быть	10	3
7	о том что	3	2
8	по самой своей	1	2
9	с другой стороны	1	2
10	в таком случае	3	2
11	в дневнике писателя	1	2
12	в том что	6	2
13	и не может	3	2
14	так и в	1	2
15	в отличие от	3	2
16	в самом деле	5	2
17	во всяком случае	2	2
18	по крайней мере	2	2
19	она отнюдь не	1	1
20	с самого начала	5	1
21	приводит его к	1	1
22	в том числе	1	1
23	мы уже говорили	1	1
24	в другом месте	1	1
25	в первую очередь	1	1
26	и в том	1	1
27	мы как бы	1	1
28	и в процессе	1	1
29	не сводится к	1	1
30	но в то	5	1
31	а может быть	1	1
32	к тому же	2	1
33	а с другой	1	1
34	одной из форм	1	1
35	как и в	1	1
36	и прежде всего	2	1
37	в нем и	1	1
38	у нас не	2	1
39	отнюдь не сводится	1	1
40	как мы узнаем	1	1
41	но отнюдь не	1	1
42	что приводит к	1	1
43	то или иное	1	1
44	сами по себе	1	1
45	той или иной	4	1
46	в русской литературе	1	1
47	в конечном счете	1	1
48	не могут быть	1	1
49	в связи с	7	1
50	таком случае это	2	1
51	являются как бы	1	1
52	в нем нет	2	1
53	можно говорить лишь	1	1
54	том числе и	1	1
55	соответствии с этим	1	1
56	в высшей степени	3	1
57	и это не	1	1
58	дело в том	1	1
59	тем что он	1	1
60	в свою очередь	5	1
61	и между ними	1	1
62	того или иного	2	1
