N	2gram	Losev_Prob_4	NovoeSre
1	а не	7	17
2	и в	20	16
3	не может	5	16
4	совсем не	1	12
5	нового времени	1	12
6	и не	28	11
7	и есть	4	10
8	в эпоху	1	9
9	что в	3	9
10	в том	20	8
11	жизни и	5	8
12	он не	2	8
13	в этом	9	7
14	может быть	9	7
15	не будет	2	7
16	как и	6	7
17	это есть	3	7
18	с его	2	6
19	не в	13	6
20	ни в	17	6
21	никогда не	1	6
22	но это	6	6
23	не знает	1	6
24	с ее	2	5
25	в ней	7	5
26	истории в	1	5
27	и к	3	5
28	не только	24	5
29	в жизни	3	5
30	xix века	2	5
31	все это	9	5
32	в нем	5	5
33	и общественной	1	5
34	новое время	1	4
35	о том	5	4
36	xix и	1	4
37	перестает быть	2	4
38	в них	5	4
39	то что	15	4
40	это не	7	4
41	прежде всего	11	4
42	не было	3	4
43	должно быть	1	4
44	и потому	7	4
45	по своему	6	4
46	значит что	8	4
47	не менее	10	4
48	и для	4	4
49	не имеет	4	4
50	и все	8	4
51	потому что	15	4
52	народные массы	1	4
53	с другой	7	3
54	смысле слова	15	3
55	в ее	5	3
56	в ночи	1	3
57	верить в	1	3
58	вопрос о	1	3
59	человека и	1	3
60	еще не	7	3
61	во всех	4	3
62	за пределы	2	3
63	в истории	3	3
64	как в	5	3
65	духа и	1	3
66	конечно не	3	3
67	не значит	1	3
68	но и	14	3
69	это было	2	3
70	не есть	12	3
71	стремится к	1	3
72	с тем	4	3
73	в своей	4	3
74	к жизни	1	3
75	в новое	3	3
76	в россии	1	3
77	в прошлом	1	3
78	не существует	5	3
79	жизни не	1	3
80	в основе	1	3
81	к преодолению	2	3
82	жизни в	2	3
83	к тому	3	3
84	сказать что	7	3
85	и это	2	2
86	же как	1	2
87	связана с	1	2
88	силы и	1	2
89	это и	4	2
90	переходе от	1	2
91	время как	2	2
92	на путях	2	2
93	ведь и	1	2
94	можно было	4	2
95	так и	10	2
96	времени и	4	2
97	мы не	7	2
98	мира и	1	2
99	и с	7	2
100	для этого	2	2
101	стремление к	1	2
102	но она	3	2
103	и что	2	2
104	и на	3	2
105	но не	5	2
106	все время	2	2
107	с этим	4	2
108	ни к	2	2
109	хотя и	5	2
110	но в	8	2
111	который в	1	2
112	все эти	16	2
113	с одной	1	2
114	себя в	2	2
115	думать что	1	2
116	с их	1	2
117	есть в	7	2
118	в себе	12	2
119	уже не	5	2
120	не к	2	2
121	том чтобы	2	2
122	у него	1	2
123	что она	4	2
124	что все	1	2
125	нет и	2	2
126	и даже	9	2
127	связаны с	1	2
128	этом смысле	3	2
129	и начала	2	2
130	том что	12	2
131	вместе с	5	2
132	так же	5	2
133	к содержанию	1	2
134	одной стороны	1	2
135	такого рода	7	2
136	другой стороны	6	2
137	не могли	2	2
138	и общества	1	2
139	ни одна	2	2
140	как будто	11	2
141	этот мир	1	2
142	как это	3	2
143	но для	1	2
144	равно как	1	2
145	в смысле	5	2
146	в то	4	2
147	борьба и	1	2
148	в мировой	1	2
149	того чтобы	2	2
150	жизни должен	1	2
151	и от	6	2
152	самой жизни	3	2
153	силы над	1	2
154	и весь	3	2
155	хотя бы	7	2
156	все они	3	2
157	познания и	1	2
158	а в	4	2
159	от всякого	1	2
160	и начинается	1	2
161	в будущем	1	2
162	истории все	1	2
163	когда мы	5	2
164	могут быть	1	2
165	в категориях	1	2
166	сама жизнь	1	2
167	все категории	2	2
168	можно назвать	2	2
169	также что	1	1
170	становится в	1	1
171	для себя	2	1
172	тут нет	1	1
173	только потому	1	1
174	перед лицом	1	1
175	чтобы быть	1	1
176	по преимуществу	2	1
177	как результат	1	1
178	и до	1	1
179	времени он	1	1
180	и этот	3	1
181	в образе	1	1
182	с собой	3	1
183	свободно а	1	1
184	конечно есть	1	1
185	и совсем	1	1
186	движения к	1	1
187	человека это	1	1
188	с ним	4	1
189	нас и	1	1
190	можно сказать	5	1
191	говорить о	2	1
192	о самом	1	1
193	на себя	1	1
194	то это	3	1
195	только так	2	1
196	символы знаки	1	1
197	под этим	1	1
198	не был	1	1
199	разобраться в	2	1
200	в виду	6	1
