N	2gram	Propp_Morf_1	Marksizm
1	точки зрения	2	34
2	может быть	52	26
3	и не	12	26
4	не может	14	24
5	с точки	2	20
6	и его	1	19
7	и в	13	19
8	таким образом	21	17
9	в этом	14	16
10	как бы	3	15
11	прежде всего	9	13
12	как мы	6	13
13	как и	3	12
14	и пр	37	12
15	и для	2	11
16	связи с	10	11
17	так и	6	11
18	если мы	5	11
19	ни было	2	10
20	самом деле	4	10
21	для него	1	9
22	только в	2	9
23	в результате	7	9
24	все же	7	8
25	бы то	3	8
26	при этом	1	8
27	сих пор	1	8
28	до сих	1	8
29	но и	4	8
30	то что	8	8
31	то ни	3	8
32	друг друга	3	8
33	не только	4	8
34	все эти	2	7
35	в связи	9	7
36	так же	3	7
37	во всех	4	7
38	но в	2	7
39	то же	7	7
40	в каждом	1	7
41	а не	11	7
42	и здесь	5	6
43	кроме того	1	6
44	с помощью	1	6
45	настоящее время	3	6
46	мы не	8	6
47	в настоящее	3	6
48	в том	6	6
49	в его	1	6
50	ничего не	4	6
51	другой стороны	4	6
52	в пределах	3	6
53	во всяком	2	5
54	входит в	2	5
55	вовсе не	4	5
56	и все	1	5
57	не в	3	5
58	хотя бы	4	5
59	ничего общего	1	5
60	те же	1	5
61	того чтобы	3	5
62	в начале	3	5
63	отличие от	1	5
64	ясно что	5	5
65	этот вопрос	2	5
66	с другой	8	5
67	к этому	3	5
68	совершается в	2	5
69	еще не	3	4
70	вопрос о	7	4
71	как такой	1	4
72	что же	2	4
73	и тот	1	4
74	не будет	1	4
75	не менее	5	4
76	дело идет	1	4
77	а в	7	4
78	между ними	1	4
79	что в	8	4
80	здесь мы	3	4
81	с этим	11	4
82	и на	1	4
83	как в	3	4
84	язык есть	1	4
85	для того	2	4
86	не столько	1	4
87	от того	3	4
88	далеко не	5	4
89	лишь с	2	4
90	самого начала	1	4
91	с самого	1	4
92	чем же	1	4
93	сказать что	2	4
94	оно может	3	4
95	было бы	3	4
96	форм и	1	4
97	не будем	4	4
98	не является	3	4
99	только на	1	4
100	как же	2	4
101	в данном	1	4
102	в которой	3	3
103	момент в	1	3
104	все формы	1	3
105	должны быть	1	3
106	первом случае	3	3
107	можно сказать	2	3
108	какого бы	1	3
109	и ее	3	3
110	и действительно	1	3
111	большинстве случаев	3	3
112	в большинстве	3	3
113	в какой	3	3
114	вопрос мы	1	3
115	к другой	1	3
116	с другими	1	3
117	в своей	1	3
118	этой школы	4	3
119	не дает	1	3
120	всех других	1	3
121	его в	2	3
122	но все	3	3
123	одной из	1	3
124	по законам	1	3
125	совершенно не	1	3
126	на самом	4	3
127	между тем	5	3
128	высшей степени	1	3
129	этом случае	8	3
130	по отношению	4	3
131	и к	4	3
132	между двумя	1	3
133	он может	2	3
134	этом отношении	1	3
135	и при	1	3
136	это и	2	3
137	переходим к	1	3
138	в то	3	3
139	мы должны	3	3
140	в сущности	3	3
141	он не	3	3
142	в первом	3	3
143	не существует	3	3
144	нашу задачу	1	3
145	того что	3	3
146	не могут	4	3
147	в высшей	1	3
148	и как	5	3
149	быть и	2	3
150	мы говорили	1	3
151	основных проблем	1	3
152	не имеет	2	3
153	на этот	1	3
154	в каком	2	3
155	нашей работы	2	3
156	в области	1	3
157	целый ряд	3	3
158	работы мы	1	3
159	и есть	2	3
160	из них	3	3
161	она может	1	3
162	же самое	1	3
163	не есть	1	3
164	том что	4	3
165	то мы	4	2
166	одним из	1	2
167	одну из	1	2
168	и этот	1	2
169	для всех	1	2
170	в себе	1	2
171	не знает	1	2
172	и с	1	2
173	в частности	2	2
174	в другом	2	2
175	из этих	1	2
176	или в	4	2
177	является одним	1	2
178	на первый	3	2
179	могла бы	4	2
180	может получить	1	2
181	к данной	1	2
182	отношению к	4	2
183	они существуют	1	2
184	как с	1	2
185	и их	2	2
186	это так	2	2
187	превращаясь в	1	2
188	мы пока	2	2
189	в эти	1	2
190	быть дано	1	2
191	как раз	1	2
192	это положение	2	2
193	там где	5	2
194	связана с	3	2
195	от него	1	2
196	и вне	3	2
197	же они	2	2
198	если он	1	2
199	то в	3	2
200	там и	1	2
201	таком случае	1	2
202	между собой	4	2
203	то как	2	2
204	и сама	1	2
205	с этой	1	2
206	конечно в	1	2
207	в таком	1	2
208	какой степени	1	2
209	но если	7	2
210	независимо от	3	2
211	для данного	1	2
212	эта ситуация	1	2
213	явлений и	1	2
214	и даже	1	2
215	из которых	3	2
216	мог бы	1	2
217	они и	3	2
218	с ее	1	2
219	из этого	1	2
220	в качестве	5	2
221	у нас	2	2
222	что не	1	2
223	к тому	4	2
224	что такое	3	2
225	в чем	1	2
226	не все	6	2
