N	4gram	Vinokur_St_3	Vvedenie
1	в то же время	3	6
2	и тем не менее	2	3
3	в том отношении что	1	3
4	и в самом деле	1	3
5	состоит в том что	2	2
6	на вопрос о том	1	2
7	по тем или иным	1	2
8	нельзя не признать очень	1	2
9	одной и той же	1	2
10	заключается в том что	2	2
11	второй половины xviii в	1	1
12	в той или иной	1	1
13	в том виде в	1	1
14	тем или иным признакам	1	1
15	и в этом смысле	2	1
16	и в конце концов	1	1
17	в первом из этих	1	1
18	в том что такое	1	1
19	в связи с этим	1	1
20	это сказалось в том	1	1
21	с тем что в	1	1
22	с этой точки зрения	1	1
23	и это сказалось в	1	1
24	том виде в каком	1	1
25	то же самое и	1	1
26	в том что не	1	1
27	отчет в том что	1	1
28	сказалось в том что	1	1
29	если принять во внимание	1	1
30	не говоря уже о	1	1
31	в собственном смысле этого	1	1
32	том смысле в каком	1	1
