N	4gram	Losev_Prob_1	Freidism
1	но в то же	1	2
2	мы говорили выше в	1	1
3	случае не может быть	1	1
4	на самом же деле	1	1
5	тем не менее он	1	1
6	ни в каком случае	3	1
7	во что бы то	1	1
8	как мы уже сказали	1	1
9	в каком случае не	2	1
10	которой мы говорили выше	1	1
11	не чем иным как	1	1
12	а может быть и	1	1
13	или по крайней мере	1	1
14	и тем не менее	8	1
15	что бы то ни	1	1
16	если бы он был	1	1
17	сказать и о других	1	1
18	бы то ни стало	1	1
19	о которой мы говорили	1	1
20	и не подозревает об	1	1
21	но вместо этого он	1	1
