N	3gram	Ircho_Kome_3	Marksizm
1	с точки зрения	3	20
2	в самом деле	6	9
3	и не может	1	9
4	до сих пор	9	8
5	бы то ни	2	8
6	то ни было	2	8
7	в связи с	3	7
8	в настоящее время	1	6
9	в отличие от	1	5
10	как мы знаем	1	5
11	с другой стороны	2	5
12	с самого начала	4	4
13	в отношении к	1	4
14	в этом случае	2	3
15	то же самое	3	3
16	в этом отношении	2	3
17	отнюдь не является	1	3
18	в конце концов	2	3
19	то же время	4	3
20	в первом случае	1	3
21	но все же	2	3
22	можно сказать что	1	3
23	в то же	4	3
24	для того чтобы	6	3
25	в том что	9	3
26	но при этом	1	2
27	в том числе	1	2
28	на первый план	1	2
29	том числе и	1	2
30	себе отчет в	1	2
31	во всяком случае	3	2
32	вопрос о том	1	2
33	по отношению к	3	2
34	до тех пор	3	2
35	в достаточной степени	1	2
36	друг друга в	1	2
37	в свою очередь	6	2
38	тем не менее	3	2
39	ничего общего с	1	2
40	к этому же	1	1
41	не могла быть	1	1
42	чуть ли не	1	1
43	и для самого	1	1
44	равно как и	1	1
45	подобно тому как	1	1
46	и там и	1	1
47	по отношению ко	2	1
48	независимо от того	1	1
49	каждом из них	1	1
50	в основе своей	1	1
51	же время все	1	1
52	может быть только	1	1
53	с этой точки	1	1
54	так или иначе	2	1
55	и не дает	1	1
56	с одной стороны	3	1
57	само собой разумеющимся	1	1
58	как раз эта	1	1
59	время все эти	1	1
60	не знает в	1	1
61	сих пор не	1	1
62	более или менее	1	1
63	так и в	1	1
64	что и для	1	1
65	и не хочет	1	1
66	этой точки зрения	1	1
67	и без того	1	1
68	точки зрения самого	1	1
69	и в самом	3	1
70	друг от друга	1	1
71	таким образом и	1	1
72	к тому что	1	1
73	друг за другом	1	1
74	все это делает	1	1
75	друг с другом	1	1
76	и между ними	1	1
77	там и здесь	1	1
78	и речи о	3	1
79	выходят за пределы	1	1
