N	3gram	Tiupa_Teor_1	RusskieA
1	в том что	8	18
2	состоит в том	5	13
3	в данном случае	5	6
4	для того чтобы	1	6
5	так же как	1	4
6	о том что	1	4
7	в этих случаях	1	3
8	в отличие от	6	3
9	не может быть	4	3
10	подобно тому как	1	3
11	тем не менее	3	2
12	что иное как	1	2
13	между тем это	1	2
14	не что иное	1	2
15	мы имеем не	1	2
16	в то время	1	2
17	с одной стороны	2	2
18	том что в	1	1
19	на нее как	1	1
20	а между тем	1	1
21	на себя внимание	1	1
22	иметь в виду	1	1
23	в виду что	1	1
24	более или менее	2	1
25	как это имеет	1	1
26	может быть назван	1	1
27	те и другие	1	1
28	из того что	1	1
29	есть рассказ о	1	1
30	состоит не в	1	1
31	также что в	1	1
32	может быть и	2	1
33	она состоит в	1	1
34	здесь мы имеем	1	1
35	по своему происхождению	1	1
36	на первый взгляд	1	1
37	это имеет место	1	1
38	дело в том	1	1
39	с другой стороны	5	1
40	все то что	1	1
41	и другие в	1	1
42	между собой и	1	1
43	имея в виду	1	1
44	в свою очередь	2	1
45	тем и другим	1	1
46	можно сказать что	2	1
47	но не с	1	1
48	дело не в	1	1
49	как и в	2	1
