N	3gram	Losev_Vlad_1	Problemy
1	то же время	4	10
2	в то же	4	10
3	но в то	1	4
4	во всяком случае	2	4
5	в этом смысле	4	3
6	бы то ни	1	3
7	одно и то	1	3
8	то ни было	1	3
9	в конце концов	3	3
10	и то же	1	3
11	с другой стороны	3	3
12	не может быть	3	3
13	к тому же	2	3
14	смысле этого слова	1	2
15	чего бы то	1	2
16	он как раз	1	2
17	как раз и	2	2
18	и не может	1	2
19	и в то	2	2
20	нет ни одного	1	2
21	на этот раз	4	2
22	в обычном смысле	1	2
23	и в этом	1	2
24	но в общем	1	2
25	что он сам	1	2
26	все это было	2	2
27	так и в	1	2
28	и все это	1	2
29	как мы уже	3	2
30	на всю жизнь	1	2
31	в том что	7	2
32	обычном смысле этого	1	1
33	как к своему	1	1
34	несколько слов о	1	1
35	в чем не	1	1
36	с ними и	1	1
37	в которой он	1	1
38	потому что в	1	1
39	дело в том	4	1
40	в самом деле	1	1
41	и в особенности	1	1
42	но даже и	2	1
43	том что он	2	1
44	в том же	1	1
45	так и не	1	1
46	да и то	1	1
47	что же касается	4	1
48	пока еще очень	1	1
49	вместе с тем	1	1
50	к ней с	1	1
51	что он не	3	1
52	он с первого	1	1
53	которого он не	1	1
54	за то что	1	1
55	во всем он	1	1
56	главным образом в	2	1
57	и то что	4	1
58	к тому что	1	1
59	то время как	1	1
60	то что у	2	1
61	и тут же	1	1
62	конце концов он	1	1
63	ведь и сам	1	1
64	и ничего не	1	1
65	в этот момент	1	1
66	это конечно не	1	1
67	мы сейчас увидим	2	1
68	в тот же	1	1
69	то что он	5	1
70	и к своему	1	1
71	и в том	1	1
72	в свое время	5	1
73	в то время	2	1
74	и ни в	1	1
75	раз и навсегда	1	1
76	слово но и	1	1
77	но только в	1	1
78	и вместе с	1	1
79	произвел на него	1	1
80	он как мы	2	1
81	в свою очередь	1	1
82	отношения к нему	1	1
83	о том что	7	1
84	у него с	1	1
85	но и для	1	1
86	не только не	1	1
87	как мы сейчас	1	1
88	ни в чем	1	1
89	можно сказать что	2	1
90	тем не менее	2	1
91	для того чтобы	2	1
92	лицом к лицу	1	1
93	прямо говорит что	1	1
94	что и в	2	1
95	с ним что	1	1
96	в этом отношении	1	1
97	правда пока еще	1	1
98	с первого же	2	1
