N	3gram	Losev_Dial_1	Analitik
1	о том что	2	6
2	в том что	7	6
3	с одной стороны	2	4
4	к тому же	1	4
5	и в этом	3	4
6	содержит в себе	3	3
7	той или иной	3	3
8	в этом отношении	2	3
9	мы имеем дело	1	3
10	тем не менее	1	3
11	по крайней мере	4	3
12	в этом смысле	3	2
13	в то же	4	2
14	с той или	2	2
15	тех или иных	1	2
16	с другой стороны	4	2
17	на то что	4	2
18	можно было бы	4	2
19	то же время	4	2
20	с точки зрения	12	2
21	а не только	1	2
22	том или ином	1	2
23	только то что	3	1
24	так или иначе	1	1
25	а в том	1	1
26	в данный момент	1	1
27	и даже не	2	1
28	ничего не говорит	4	1
29	самом деле не	1	1
30	почему мы должны	1	1
31	все что ни	1	1
32	бы это было	1	1
33	что иное как	1	1
34	не есть миф	1	1
35	в первую очередь	1	1
36	до известной степени	1	1
37	есть миф и	2	1
38	нельзя сказать что	1	1
39	с другом в	1	1
40	а между тем	1	1
41	как в этом	1	1
42	говорит не о	1	1
43	дело не в	1	1
44	к тому что	2	1
45	еще ничего не	1	1
46	сказать что в	1	1
47	как один из	2	1
48	то же самое	1	1
49	можно сказать что	3	1
50	отнюдь не является	1	1
51	и то же	4	1
52	ни о чем	2	1
53	есть не что	1	1
54	а не с	1	1
55	ничего не доказывает	1	1
56	как раз и	1	1
57	то что она	1	1
58	не что иное	1	1
59	всегда говорит не	1	1
60	более или менее	3	1
61	и даже в	1	1
62	имеется в виду	1	1
63	в связи с	1	1
64	в этих случаях	1	1
65	в полной мере	1	1
66	в самом деле	1	1
67	крайней мере в	1	1
68	но и все	1	1
69	жизнь и смерть	1	1
70	друг с другом	1	1
71	точно так же	2	1
72	имеет место в	1	1
73	сами по себе	1	1
74	а о самом	1	1
75	ко всему этому	1	1
76	не в самом	1	1
77	во всех этих	1	1
78	как более или	2	1
79	в отношении к	1	1
80	несмотря на то	2	1
81	каждом из них	1	1
82	сама по себе	8	1
83	форма может быть	1	1
84	и не требует	1	1
85	одно и то	4	1
86	то и другое	2	1
87	не может быть	3	1
