N	2gram	Berdyaev_O_1	Vladivir
1	вл соловьева	1	152
2	вл соловьев	1	136
3	и в	19	30
4	в этом	12	20
5	то что	5	20
6	у него	22	19
7	и не	13	18
8	в том	5	18
9	и с	2	14
10	что он	3	13
11	в конце	1	13
12	не только	11	12
13	том что	2	12
14	у вл	1	12
15	что в	4	12
16	в его	7	11
17	а в	5	11
18	сказать что	2	11
19	не было	9	10
20	и даже	1	10
21	все же	2	9
22	было бы	3	9
23	не в	11	9
24	не может	4	9
25	для него	5	9
26	потому что	9	9
27	в своем	2	8
28	но в	2	8
29	что же	2	8
30	но и	13	8
31	до конца	7	7
32	которую он	2	7
33	никогда не	9	7
34	в эти	1	7
35	может быть	11	7
36	а не	11	7
37	как это	1	7
38	и все	10	7
39	также и	1	6
40	он был	8	6
41	хотя и	2	6
42	и к	2	6
43	в себе	3	6
44	и его	4	6
45	у нас	1	6
46	его жизни	1	6
47	всяком случае	1	6
48	а именно	1	6
49	прежде всего	9	6
50	о чем	1	6
51	к этому	2	6
52	жизни и	1	6
53	во всяком	1	6
54	и то	2	5
55	и я	1	5
56	то в	1	5
57	все эти	4	5
58	как и	6	5
59	в своей	2	5
60	в котором	1	5
61	по себе	2	5
62	так как	2	5
63	так и	2	5
64	с ним	3	5
65	и что	1	5
66	того что	3	5
67	так что	2	5
68	как бы	3	5
69	о его	5	5
70	все это	6	5
71	в петербург	1	5
72	и он	8	4
73	в ней	1	4
74	и на	2	4
75	с его	4	4
76	совсем не	2	4
77	отношение к	5	4
78	не очень	2	4
79	в которой	2	4
80	что это	1	4
81	в этой	5	4
82	в нем	10	4
83	он не	7	4
84	его в	2	4
85	это было	3	4
86	в этих	3	4
87	вот что	1	4
88	не есть	2	4
89	и о	2	4
90	о том	3	4
91	вовсе не	1	4
92	со стороны	1	4
93	что пишет	1	4
94	в это	1	4
95	но это	1	4
96	на этот	1	4
97	ко всему	1	4
98	него в	5	4
99	отношения к	1	3
100	и больше	1	3
101	и вот	3	3
102	но не	1	3
103	как в	1	3
104	и как	1	3
105	н страхов	1	3
106	учение о	2	3
107	должен был	2	3
108	только одно	3	3
109	с богом	2	3
110	в них	1	3
111	должно быть	2	3
112	в отношении	1	3
113	но он	7	3
114	в россии	5	3
115	не могли	2	3
116	только и	4	3
117	к ней	2	3
118	он и	1	3
119	и это	1	3
120	что и	2	3
121	уже не	1	3
122	уже в	2	3
123	а это	1	3
124	на этих	1	3
125	даже и	2	3
126	дело в	1	3
127	под влиянием	1	3
128	нет ничего	7	3
129	да и	1	3
130	своей жизни	2	3
131	и для	2	3
132	еще более	1	3
133	хотя бы	3	3
134	бог и	1	2
135	сам по	1	2
136	но тем	1	2
137	и есть	3	2
138	и до	1	2
139	его не	2	2
140	не вполне	1	2
141	есть для	1	2
142	себе и	1	2
143	как к	2	2
144	в самом	5	2
145	на то	1	2
146	человек не	7	2
147	мысли и	3	2
148	же это	2	2
149	и сам	1	2
150	на земле	4	2
151	заключается в	1	2
152	это не	3	2
153	кажется что	1	2
154	с тем	2	2
155	мы не	1	2
156	и православной	1	2
157	нисколько не	1	2
158	народа и	1	2
159	достоевского но	2	2
160	ли он	1	2
161	и очень	2	2
162	с которой	2	2
163	она не	1	2
164	не имеет	2	2
165	того как	1	2
166	было у	1	2
167	само по	1	2
168	того чтобы	4	2
169	в русском	1	2
170	как будто	1	2
171	всему этому	1	2
172	начиная с	1	2
173	а что	1	2
174	будто бы	1	2
175	он никогда	1	2
176	можно и	1	2
177	в виду	1	2
178	людей в	1	2
179	не могу	1	2
180	ничего не	2	2
181	о нем	1	2
182	после того	1	2
183	в сущности	1	2
184	к нему	3	2
185	и можно	1	2
186	он сам	4	2
187	него и	4	2
188	его и	1	2
189	ни с	7	2
190	в новом	1	2
191	для того	3	2
192	и из	2	2
193	как у	1	2
194	и прежде	1	2
195	о пушкине	1	2
196	что не	4	2
197	что для	2	2
198	был в	1	2
199	стремится к	1	2
200	было для	2	2
201	в частности	1	2
202	к его	1	2
203	и потому	2	2
204	это за	3	2
205	можно было	1	2
206	есть просто	1	2
207	и от	3	2
208	у достоевского	19	2
209	к этой	2	2
210	жизни в	2	2
211	этот период	1	2
212	же и	1	2
213	в своих	3	2
214	была для	1	2
215	смысле слова	1	1
216	например в	1	1
217	в этот	2	1
218	о боге	4	1
219	чистая идея	1	1
220	он хотел	1	1
221	дела что	1	1
222	между двумя	1	1
223	от самого	2	1
224	он всегда	7	1
225	сказать с	1	1
226	есть не	1	1
227	русскую идею	1	1
228	характер его	1	1
229	в первый	1	1
230	раз уже	2	1
231	жизни как	1	1
232	и ни	2	1
233	о судьбе	1	1
234	него совершенно	1	1
235	самом деле	1	1
236	слишком много	1	1
237	то он	1	1
238	к богу	1	1
239	не все	2	1
240	жизни все	3	1
241	что они	2	1
242	природы и	2	1
243	что нет	1	1
244	еще больше	1	1
245	когда он	3	1
246	вопросом о	2	1
247	православия и	1	1
248	духа и	1	1
249	самом начале	1	1
250	него до	1	1
251	за собой	1	1
252	к чему	1	1
253	та же	1	1
254	бы и	1	1
255	сделал для	1	1
256	он в	2	1
257	думать что	1	1
258	что она	1	1
259	бы от	1	1
260	больше всего	1	1
261	после которого	1	1
262	он ни	1	1
263	после этого	1	1
264	они в	1	1
265	чем у	1	1
266	к одному	1	1
267	свои собственные	1	1
268	ней не	1	1
269	в пустыне	1	1
270	в глубину	2	1
271	это конечно	1	1
272	что все	2	1
