N	3gram	Propp_Isto_5	StatiiOP
1	в том что	2	16
2	о том что	4	11
3	и т д	18	6
4	до сих пор	2	5
5	вместе с тем	6	5
6	для того чтобы	3	5
7	что он не	1	4
8	то обстоятельство что	1	4
9	после того как	3	4
10	иметь в виду	1	3
11	так же как	3	3
12	обращает на себя	1	3
13	с другой стороны	8	3
14	во всяком случае	1	3
15	с самого начала	1	3
16	вопрос о том	1	3
17	к тому времени	1	2
18	с точки зрения	1	2
19	в отличие от	1	2
20	но и здесь	1	2
21	совершенно так же	1	2
22	уже после того	2	2
23	в это время	2	2
24	не в том	1	2
25	то что он	1	2
26	в самом деле	1	2
27	но все же	4	2
28	с тем что	1	2
29	на то что	2	2
30	в том смысле	1	2
31	вне всякого сомнения	1	2
32	тем не менее	4	2
33	не потому ли	2	2
34	в виду что	1	1
35	на самом деле	1	1
36	он не только	1	1
37	каждого из них	1	1
38	в своей работе	1	1
39	он не может	2	1
40	что он уже	1	1
41	сам по себе	1	1
42	мы до сих	1	1
43	точно так же	1	1
44	большую роль в	1	1
45	в зависимости от	1	1
46	т е в	3	1
47	в данном случае	2	1
48	не менее вопрос	1	1
49	и вместе с	2	1
50	как и вообще	1	1
51	в связи с	4	1
52	но вместе с	3	1
53	тому времени когда	1	1
54	и на этом	1	1
55	орудием в руках	1	1
56	что у него	1	1
57	в ту же	1	1
58	по отношению к	2	1
59	то же время	1	1
60	в то время	1	1
61	в том чтобы	2	1
62	в свою очередь	1	1
63	в этом случае	7	1
64	что в его	1	1
65	но и он	1	1
66	в то же	1	1
67	в том числе	1	1
68	и что он	1	1
69	таким образом в	1	1
70	дело не в	1	1
71	менее вопрос о	1	1
72	а затем уже	1	1
73	как мы видели	1	1
74	внимание только на	1	1
