N	3gram	Tiupa_Lite_1	Mirosoze
1	не может быть	1	8
2	до сих пор	1	3
3	и в этом	1	3
4	а не в	1	2
5	подобно тому как	2	2
6	может быть назван	1	2
7	в отношении к	1	2
8	и самого себя	1	2
9	о том что	2	2
10	по отношению к	2	2
11	никогда не бывает	1	2
12	друг для друга	2	2
13	в том что	11	2
14	как и во	1	2
15	не мог бы	1	1
16	том что он	1	1
17	так и не	1	1
18	все та же	2	1
19	с точки зрения	2	1
20	не могли быть	1	1
21	то в чем	1	1
22	во имя свободы	1	1
23	между тем как	1	1
24	в этом отношении	2	1
25	в той мере	1	1
26	на то что	1	1
27	человеческого духа и	1	1
28	от слияния с	1	1
29	в значительной степени	1	1
30	которые могли бы	1	1
31	а не только	1	1
32	преступления и наказания	1	1
33	и искусства от	1	1
34	что он сам	1	1
35	в жизни его	1	1
36	в xix веке	1	1
37	один из моментов	1	1
38	так как будто	1	1
39	на эту тему	1	1
40	интеллигенции и народа	1	1
41	по ту сторону	1	1
42	в этом есть	1	1
43	нет ничего кроме	1	1
44	был по преимуществу	1	1
45	не в силах	1	1
46	никогда и нигде	1	1
47	в действительности это	1	1
48	друг друга а	1	1
49	на самом деле	1	1
50	что он в	1	1
