N	2gram	Tiupa_Vved_1	RusskieA
1	и в	13	29
2	том что	7	22
3	в том	10	22
4	что в	3	22
5	в поле	1	19
6	как бы	4	18
7	состоит в	10	15
8	может быть	18	13
9	во время	1	12
10	в этом	21	11
11	как и	11	11
12	одна из	4	11
13	в этот	2	10
14	не только	20	10
15	и с	2	10
16	все это	1	10
17	а на	2	9
18	о том	5	9
19	а в	6	9
20	но и	19	8
21	как в	4	7
22	данном случае	6	7
23	мы видели	2	7
24	представляют собой	3	7
25	или в	1	7
26	мы имеем	5	6
27	мы не	4	6
28	еще не	7	6
29	и на	3	6
30	при этом	26	6
31	таким образом	4	6
32	того чтобы	1	6
33	для нас	2	6
34	с тем	1	6
35	вместе с	1	6
36	в данном	13	6
37	этом случае	1	6
38	же в	1	6
39	но не	5	5
40	но в	6	5
41	это не	6	5
42	не может	7	5
43	потому что	5	5
44	и что	1	5
45	будто бы	3	5
46	то что	6	5
47	к этому	2	5
48	то же	5	4
49	не все	2	4
50	уже не	5	4
51	их в	2	4
52	том же	1	4
53	после обеда	1	4
54	в них	2	4
55	далеко не	4	4
56	в которых	1	4
57	из земли	1	4
58	не в	6	4
59	у нас	1	4
60	а также	8	4
61	к нему	1	4
62	так что	1	4
63	то и	2	4
64	в виде	1	4
65	из них	1	4
66	а не	15	4
67	о чем	2	4
68	так же	1	4
69	как это	1	4
70	этих случаях	2	4
71	предположить что	1	4
72	и все	4	4
73	в таком	1	4
74	и через	1	3
75	и о	1	3
76	в ее	1	3
77	что это	1	3
78	все эти	1	3
79	в этой	1	3
80	что она	1	3
81	подобно тому	2	3
82	и по	3	3
83	на этом	1	3
84	с другими	1	3
85	должен был	1	3
86	не всегда	2	3
87	на первый	1	3
88	в этих	3	3
89	в котором	8	3
90	в отличие	2	3
91	но он	1	3
92	не имеет	2	3
93	и после	1	3
94	как мы	3	3
95	во всех	2	3
96	а именно	1	3
97	того что	6	3
98	между тем	1	3
99	в качестве	8	3
100	умирающего и	1	3
101	связь с	1	3
102	или даже	1	3
103	отличие от	2	3
104	ставят на	2	3
105	тем что	2	3
106	что для	1	3
107	до конца	3	3
108	и воскресающего	1	3
109	тому как	2	3
110	и от	2	3
111	было бы	4	3
112	но если	1	3
113	одним из	5	2
114	на самом	4	2
115	переход от	1	2
116	рассматривается как	1	2
117	но она	1	2
118	что иное	1	2
119	на себя	1	2
120	не совсем	1	2
121	это время	2	2
122	между собой	2	2
123	иное как	1	2
124	не говорится	1	2
125	природы и	1	2
126	с одной	5	2
127	тогда как	10	2
128	все же	6	2
129	как уже	1	2
130	не было	2	2
131	них как	2	2
132	не можем	2	2
133	та же	1	2
134	представляет собой	15	2
135	из этих	3	2
136	как оно	2	2
137	ряд других	1	2
138	чтобы они	1	2
139	не к	4	2
140	том чтобы	2	2
141	людей и	1	2
142	здесь мы	1	2
143	об этом	4	2
144	полагает что	1	2
145	смерть и	1	2
146	для них	3	2
147	на шею	1	2
148	и еще	1	2
149	так в	4	2
150	в своей	5	2
151	воскресение божества	1	2
152	в их	1	2
153	не столько	4	2
154	должны были	2	2
155	тем не	3	2
156	не менее	4	2
157	в то	4	2
158	дело не	1	2
159	того как	1	2
160	о них	3	2
161	никогда не	4	2
162	этого обряда	1	2
163	во всем	1	2
164	связи с	1	2
165	что на	2	2
166	все то	1	2
167	начиная с	3	2
168	в состав	4	2
169	должен быть	1	2
170	в виду	1	2
171	за пределами	3	2
172	можно было	2	2
173	не с	3	2
174	оно как	1	2
175	еще в	2	2
176	не имели	2	2
177	а к	3	2
178	или их	1	2
179	с другой	5	2
180	в приведенных	1	2
181	состояла в	1	2
182	у них	1	2
183	что и	2	2
184	в форме	1	2
185	также в	1	2
186	представления о	1	2
187	в него	1	2
188	он есть	1	2
189	один из	3	2
190	в разные	1	2
191	и ее	1	2
192	есть в	2	2
193	или просто	1	2
194	на эту	1	2
195	представлений о	1	2
196	связано с	3	2
197	каждый из	1	2
198	заметить что	1	2
199	в целях	1	2
200	сюда же	1	2
201	а с	2	2
202	прежде всего	7	2
203	одной стороны	5	2
204	если она	2	2
205	из которых	1	2
206	в течение	1	2
207	могут быть	4	2
208	быть только	2	2
209	видно что	1	2
210	этом и	2	2
211	пока еще	4	2
212	и для	3	2
213	жизни в	4	2
214	не что	1	2
215	из этого	1	2
216	в своих	2	2
217	без этих	1	1
218	отношение к	2	1
219	говорилось выше	1	1
220	к этой	1	1
221	в приведенном	2	1
222	года к	1	1
223	и до	1	1
224	смерть в	1	1
225	очень много	1	1
226	и должен	1	1
227	основе которой	1	1
228	например в	2	1
229	к новой	1	1
230	говорить о	2	1
231	из того	1	1
232	мы и	2	1
233	речь это	1	1
234	в ней	4	1
235	относится и	1	1
236	не входит	1	1
237	если в	2	1
238	к слову	1	1
239	ответ на	1	1
240	или смерть	1	1
241	воплощенной в	1	1
242	что они	1	1
243	к сожалению	1	1
244	относится к	1	1
245	отнюдь не	7	1
246	первый взгляд	1	1
247	так называемая	1	1
248	стороны и	1	1
249	в своем	5	1
250	в противном	1	1
251	и смысловая	1	1
252	перед нами	6	1
253	либо его	1	1
254	хотя и	7	1
255	и наконец	2	1
256	более или	2	1
257	в особую	1	1
258	в самом	2	1
259	уже в	1	1
260	он в	1	1
261	ни одна	1	1
262	рассказ о	1	1
263	что к	1	1
264	возможен только	1	1
265	тому же	4	1
266	лица и	1	1
267	как он	2	1
268	на то	1	1
269	но на	2	1
270	и если	1	1
271	вообще не	1	1
272	что без	1	1
273	не следует	3	1
274	в нем	5	1
275	плачут и	2	1
276	так сказать	2	1
277	всех этих	1	1
278	до самого	1	1
279	только в	6	1
280	в нее	1	1
281	по аналогии	1	1
282	непосредственно а	1	1
283	ее по	1	1
284	однако все	1	1
285	могла бы	3	1
286	что все	1	1
287	значение в	1	1
288	а как	1	1
289	входит в	1	1
290	и отдельные	1	1
291	известно что	1	1
292	по всему	1	1
293	только одно	1	1
294	о которой	2	1
295	молока в	1	1
296	говорится о	1	1
297	или менее	2	1
298	но где	1	1
299	когда ее	1	1
300	или точнее	1	1
301	это только	2	1
302	место в	2	1
303	своего рода	10	1
304	мир и	1	1
305	но они	2	1
306	однако в	4	1
307	из одного	1	1
308	случае мы	1	1
309	что есть	1	1
310	с которой	1	1
311	как о	2	1
312	в науке	1	1
313	и притом	1	1
314	на него	2	1
315	в основе	3	1
316	в игру	1	1
317	вытекает из	1	1
318	и девочка	2	1
319	в полной	1	1
320	по своей	3	1
321	вперед и	1	1
322	и его	5	1
323	так например	1	1
324	как будто	4	1
325	этом отношении	4	1
326	не является	3	1
327	от их	1	1
328	и оно	2	1
329	в духе	1	1
330	и другим	1	1
331	для его	1	1
332	оно не	1	1
333	время они	1	1
334	своим формам	1	1
335	себе в	1	1
336	свою очередь	4	1
337	и сами	2	1
338	здесь не	2	1
339	не могу	1	1
340	на основе	1	1
341	более высокой	1	1
342	в особенности	1	1
343	в пределах	2	1
344	приводит к	2	1
345	и иные	1	1
346	что у	1	1
347	с собой	1	1
348	так и	8	1
349	это явная	1	1
350	мог бы	1	1
351	своему происхождению	1	1
352	том как	3	1
353	если бы	7	1
354	этого так	1	1
355	с ним	3	1
356	сводится к	4	1
357	то они	1	1
358	настоящее время	1	1
359	с того	1	1
360	можно сказать	4	1
361	аналогии с	1	1
362	и передают	1	1
363	совершаемые с	1	1
364	теперь уже	2	1
365	в его	4	1
366	во всей	1	1
367	как правило	6	1
368	в литературе	2	1
369	и игры	1	1
370	быть и	2	1
371	с той	1	1
372	но так	1	1
373	что смерть	2	1
374	но с	1	1
375	день ивана	1	1
376	тот же	1	1
377	новой жизни	1	1
378	на сцену	1	1
379	что он	1	1
380	мы увидим	1	1
381	в какой	4	1
382	к их	1	1
383	и так	1	1
384	который в	2	1
385	они могут	1	1
386	их не	1	1
387	i и	1	1
388	от них	1	1
389	из которого	1	1
390	он полагал	1	1
391	только на	1	1
392	вернуться к	1	1
393	так называемый	1	1
394	в данной	2	1
395	мир в	1	1
396	не так	1	1
397	для него	3	1
398	всяком случае	1	1
399	могло бы	3	1
400	в одном	1	1
401	в пространстве	1	1
402	в конце	1	1
403	ее не	2	1
404	к ним	2	1
