N	3gram	Tiupa_Hudo_1	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	3	6
3	более или менее	5	5
4	в том числе	2	5
5	по крайней мере	1	5
6	а с другой	2	5
7	для того чтобы	2	5
8	о том что	1	4
9	том числе и	1	4
10	к тому же	1	4
11	так или иначе	3	3
12	точно так же	1	3
13	так же как	1	3
14	в связи с	1	3
15	тем не менее	3	3
16	в том что	7	3
17	области духовной культуры	1	2
18	и потому что	1	2
19	то же самое	1	2
20	те и другие	1	2
21	заключает в себе	1	2
22	с этой точки	1	2
23	то или иное	1	2
24	может быть и	2	2
25	то ни было	1	2
26	бы то ни	1	2
27	то же время	5	2
28	этой точки зрения	1	2
29	той или иной	4	2
30	можно сказать что	3	2
31	есть как бы	1	2
32	в то же	5	2
33	и те и	1	2
34	каждая из этих	1	1
35	и в сущности	1	1
36	и того же	2	1
37	в слове о	2	1
38	состоит в том	5	1
39	одном и том	1	1
40	иметь в виду	1	1
41	по отношению к	9	1
42	имеем в виду	3	1
43	в настоящее время	1	1
44	одного и того	2	1
45	к новой жизни	1	1
46	в соответствии с	1	1
47	в области духовной	1	1
48	в таком случае	1	1
49	и в то	1	1
50	до известной степени	2	1
51	в одном и	1	1
52	вследствие того что	1	1
53	при этом не	1	1
54	жизни то есть	1	1
55	том или ином	1	1
56	во всей своей	1	1
57	при этом может	1	1
58	случае мы имеем	1	1
59	в том или	1	1
60	слове о полку	2	1
61	неизбежно заключает в	1	1
62	как видно из	1	1
63	и том же	1	1
64	в отличие от	7	1
65	и в этой	1	1
66	о полку игореве	2	1
67	еще и потому	1	1
68	тем или иным	1	1
69	с другой стороны	5	1
70	как бы в	1	1
71	не совпадает с	1	1
72	а в том	1	1
73	только то что	1	1
74	каждая из которых	1	1
75	не может быть	3	1
76	что даже в	1	1
77	к чему не	1	1
78	в то время	1	1
79	в свою очередь	2	1
80	это и есть	1	1
81	тем и другим	1	1
82	ни к чему	1	1
83	мы имеем в	3	1
84	как и ее	1	1
85	именно потому что	1	1
