N	3gram	Medvedev_U_1	Myslijsy
1	в том что	2	7
2	в этом случае	1	5
3	по крайней мере	2	5
4	не может быть	4	5
5	само по себе	1	5
6	а между тем	2	4
7	то же самое	2	4
8	до сих пор	2	4
9	с тем что	1	4
10	и то что	2	4
11	сам по себе	1	4
12	можно сказать что	1	4
13	на то что	1	4
14	то же время	3	3
15	в то же	3	3
16	хотя бы и	2	2
17	в данном случае	1	2
18	не могут быть	2	2
19	так или иначе	1	2
20	не в том	1	2
21	равно как и	1	2
22	в которой все	1	1
23	еще одно замечание	1	1
24	по меньшей мере	1	1
25	он может быть	1	1
26	если не исключительно	1	1
27	в течение многих	1	1
28	и не только	1	1
29	не было бы	1	1
30	в этом отношении	2	1
31	на каждом шагу	2	1
32	в данное время	1	1
33	другой стороны в	1	1
34	с одной стороны	1	1
35	на первый взгляд	1	1
36	бы это было	1	1
37	не есть слово	1	1
38	то что все	1	1
39	очевидно что и	1	1
40	не только к	1	1
41	с другой стороны	3	1
42	в той же	1	1
43	это было бы	1	1
44	художественное произведение состоит	1	1
45	же самое что	1	1
46	никогда не может	1	1
47	и быть не	1	1
48	произведение состоит из	1	1
49	конечно не в	1	1
50	только в этом	1	1
51	у нас в	1	1
52	быть не может	1	1
53	что мы можем	1	1
54	как нам представляется	1	1
55	самом деле есть	1	1
