N	3gram	Tiupa_Disk_2	FransuaR
1	то же время	5	9
2	в то же	4	9
3	прежде всего в	1	4
4	в том числе	1	4
5	то есть в	1	4
6	с точки зрения	2	3
7	хвала и брань	1	3
8	верха и низа	1	3
9	на этом свете	1	3
10	все то что	1	3
11	так и в	3	3
12	в том что	6	3
13	дело в том	2	2
14	по отношению к	4	2
15	хвалы и брани	1	2
16	в этом отношении	4	2
17	то что в	1	2
18	в большинстве случаев	1	2
19	том числе и	1	2
20	в значительной степени	1	2
21	как и в	5	2
22	не должно быть	1	2
23	в свое время	2	2
24	по своей природе	1	1
25	и может быть	2	1
26	не в состоянии	1	1
27	в этом мире	2	1
28	все дело в	1	1
29	погружает нас в	1	1
30	как и его	1	1
31	же время и	1	1
32	оказывается тем самым	1	1
33	это своего рода	1	1
34	по аналогии с	1	1
35	замкнутых в себе	1	1
36	в это время	1	1
37	литературы нового времени	1	1
38	в применении к	1	1
39	здесь как и	1	1
40	содержит в себе	2	1
41	в данном случае	6	1
42	дело не с	1	1
43	а также и	1	1
44	пространственном так и	1	1
45	большинстве случаев это	1	1
46	о том что	3	1
47	а напротив торжествующего	1	1
48	о том какое	1	1
49	большую или меньшую	1	1
50	к рассказу о	1	1
51	до нас не	1	1
52	и т.п или	1	1
53	во всяком случае	1	1
54	от прошлого к	1	1
55	и т.п в	1	1
56	в одном из	1	1
57	с самого начала	1	1
58	и прежде всего	2	1
59	друг от друга	1	1
60	в силу своей	1	1
