N	2gram	Voloshinov_1	Formalny
1	и не	10	30
2	вовсе не	1	28
3	и в	12	27
4	может быть	14	25
5	не может	16	24
6	так и	4	21
7	социальная оценка	2	19
8	и его	13	19
9	в этом	4	18
10	таким образом	12	18
11	а не	5	17
12	самом деле	3	16
13	точки зрения	14	16
14	то же	5	15
15	в нем	6	15
16	в процессе	6	15
17	и пр	3	15
18	между ними	2	15
19	на самом	4	14
20	как и	5	14
21	с точки	2	14
22	не в	4	12
23	если бы	9	12
24	социальной оценки	1	12
25	в самом	4	11
26	в жизни	5	11
27	художественное произведение	3	11
28	не могут	1	10
29	место в	2	10
30	но и	3	10
31	не только	4	9
32	как его	1	9
33	социального общения	4	9
34	так как	9	9
35	так же	3	9
36	отнюдь не	5	8
37	с помощью	6	8
38	как бы	13	8
39	при этом	6	8
40	входит в	1	8
41	ни в	3	8
42	как мы	1	8
43	в пределах	3	8
44	только в	6	8
45	то что	5	8
46	и все	2	8
47	что в	2	8
48	художественного произведения	7	7
49	тем же	1	7
50	не менее	3	7
51	же время	1	7
52	его в	4	7
53	между тем	3	7
54	в его	2	7
55	в том	6	7
56	для них	1	7
57	если мы	1	7
58	там где	2	7
59	все это	3	7
60	в то	2	7
61	в искусстве	1	7
62	еще не	3	6
63	и понимания	1	6
64	но в	5	6
65	все эти	3	6
66	идеологического творчества	2	6
67	в своей	3	6
68	и ее	3	6
69	всяком случае	1	6
70	произведения в	1	6
71	данной социальной	1	6
72	все время	6	6
73	было бы	1	6
74	в литературе	4	6
75	с другой	4	6
76	более того	2	6
77	вместе с	2	6
78	в данном	2	6
79	оценки и	2	6
80	все же	4	6
81	и для	3	6
82	истории литературы	2	6
83	хотя бы	5	6
84	во всяком	1	6
85	в зависимости	2	5
86	зависимости от	4	5
87	но не	2	5
88	в истории	1	5
89	в одной	1	5
90	независимо от	2	5
91	что именно	1	5
92	в художественном	3	5
93	социальных оценок	3	5
94	высказывание как	2	5
95	ни было	4	5
96	материала в	1	5
97	того чтобы	1	5
98	поэтическое произведение	5	5
99	сводится к	1	5
100	если же	2	5
101	в ней	6	5
102	что они	1	5
103	никогда не	5	5
104	связи с	1	5
105	и их	1	5
106	друг друга	1	5
107	и потому	2	5
108	тому как	1	5
109	высказывания и	2	5
110	не является	1	5
111	в результате	1	5
112	другой стороны	2	5
113	не есть	2	4
114	произведения но	1	4
115	мы не	3	4
116	смысл и	2	4
117	быть понято	1	4
118	бы то	3	4
119	менее всего	1	4
120	как в	5	4
121	в целом	1	4
122	и те	2	4
123	в корне	2	4
124	подобно тому	1	4
125	то ни	3	4
126	данном случае	2	4
127	в ее	1	4
128	в слове	1	4
129	том что	5	4
130	по себе	3	4
131	она не	2	4
132	в смысле	1	4
133	тогда когда	2	4
134	мы можем	2	4
135	и является	4	4
136	могут быть	2	4
137	к тому	1	4
138	о том	3	4
139	его смысла	1	4
140	слов и	1	4
141	субъективного сознания	1	4
142	конечно не	3	4
143	уже в	2	4
144	в большинстве	1	4
145	только на	3	4
146	социальной жизни	2	4
