N	4gram	Savitsky_E_1	Dialekti
1	в то же время	14	6
2	не говоря уже о	1	3
3	и в этом смысле	2	2
4	и в то же	8	2
5	но если так то	1	2
6	но в то же	2	2
7	с этой точки зрения	5	2
8	и то и другое	1	1
9	в отношении к мировому	1	1
10	поскольку речь идет о	1	1
11	принимая во внимание что	1	1
12	указать на то что	1	1
13	одна и та же	1	1
14	можно сказать что в	2	1
15	в том случае если	1	1
16	рассматривать с точки зрения	1	1
17	дело в том что	1	1
18	т е прежде всего	1	1
19	не нужно думать что	1	1
20	в качестве одного из	1	1
21	в связи с этим	1	1
