N	3gram	Losev_Dial_3	Tragedij
1	то же время	1	5
2	в то же	1	5
3	точно так же	2	2
4	и в частности	1	2
5	в данном случае	1	2
6	и как бы	1	2
7	не в силах	1	2
8	о том что	5	2
9	в том что	3	2
10	в этом мире	1	1
11	а я люблю	1	1
12	вопрос об этом	1	1
13	вообще не имеет	1	1
14	что это значит?	2	1
15	не только о	2	1
16	в таком виде	1	1
17	и не может	1	1
18	сам по себе	5	1
19	как это часто	1	1
20	таком виде что	1	1
21	это может быть	1	1
22	в применении к	1	1
23	во всяком случае	2	1
24	и в этом	2	1
25	тем не менее	10	1
26	не могут быть	2	1
27	в связи с	1	1
28	мы отнюдь не	1	1
29	не может быть	6	1
30	на них он	1	1
31	по вопросу об	1	1
32	как и все	2	1
33	это и есть	2	1
34	что в ней	1	1
35	в одном из	1	1
36	не только не	7	1
37	в самом деле	5	1
38	что он вообще	1	1
39	я не хочу	1	1
40	ни за что	1	1
41	к тому что	2	1
42	это не просто	1	1
43	во всем его	1	1
44	как и в	3	1
