N	3gram	Vygotskiy__2	Poddanst
1	в то же	2	7
2	то же время	2	7
3	в отношении к	3	5
4	в том что	17	4
5	с точки зрения	10	3
6	сами по себе	3	3
7	с одной стороны	1	3
8	но и в	1	2
9	заключает в себе	2	2
10	в ней не	1	2
11	заключается в том	10	2
12	том что в	2	1
13	эти ценности в	1	1
14	в том виде	3	1
15	в ней и	1	1
16	более или менее	1	1
17	в этом смысле	1	1
18	и не может	2	1
19	в отличие от	1	1
20	не было бы	1	1
21	с тем чтобы	1	1
22	в россии и	1	1
23	имеет два основных	1	1
24	совершенно ясно что	6	1
25	за то что	1	1
26	тех пор пока	1	1
27	в этих двух	1	1
28	вместе с тем	1	1
29	и то что	2	1
30	и в частности	1	1
31	так же как	4	1
32	если мы не	1	1
33	по сравнению с	2	1
34	между тем в	1	1
35	с тем же	1	1
36	не в том	2	1
37	мы не сумеем	1	1
38	если бы ее	1	1
39	во всяком случае	2	1
40	с другой стороны	2	1
41	не может быть	8	1
42	до тех пор	1	1
43	само по себе	3	1
44	и тем самым	1	1
45	именно потому что	1	1
46	мы знаем что	4	1
47	между тем при	1	1
48	друг с другом	1	1
49	творчества и в	1	1
50	для того чтобы	13	1
51	и т д	2	1
