N	2gram	Vinokur_Ku_3	SlovoVZh
1	не может	6	16
2	может быть	14	14
3	точки зрения	23	14
4	как бы	5	13
5	и его	1	13
6	таким образом	9	12
7	и в	23	12
8	по отношению	3	11
9	в нашем	7	11
10	отношению к	2	11
11	и не	10	10
12	если бы	8	9
13	так как	9	9
14	прежде всего	9	8
15	сказать что	7	7
16	для нас	4	7
17	в ней	3	6
18	в том	22	6
19	только в	6	6
20	при этом	6	6
21	с помощью	6	6
22	слова и	7	6
23	все время	1	6
24	в процессе	3	6
25	должна быть	3	5
26	то же	6	5
27	в виду	8	5
28	можно сказать	2	5
29	отнюдь не	3	5
30	как в	4	5
31	но в	2	5
32	и др	1	5
33	а не	11	5
34	как и	5	5
35	что мы	2	5
36	том что	11	5
37	никогда не	1	5
38	хотя бы	9	5
39	то что	4	5
40	на самом	3	4
41	зависимости от	8	4
42	литературы и	1	4
43	социального общения	1	4
44	к нему	1	4
45	за пределы	2	4
46	в этом	16	4
47	все же	5	4
48	в самом	13	4
49	уже не	8	4
50	не только	17	4
51	отношение к	3	4
52	от того	5	4
53	так и	6	4
54	с другой	7	4
55	что не	4	4
56	не в	5	4
57	его в	2	4
58	и к	3	4
59	и на	1	4
60	здесь не	2	3
61	самом деле	14	3
62	формы и	3	3
63	в котором	2	3
64	в пределах	2	3
65	ясно что	4	3
66	еще не	9	3
67	мы не	3	3
68	о том	6	3
69	бы то	1	3
70	но и	3	3
71	между тем	4	3
72	точка зрения	4	3
73	нуждается в	1	3
74	того что	11	3
75	быть и	1	3
76	когда он	2	3
77	имеет в	2	3
78	и ее	1	3
79	все эти	7	3
80	конечно не	2	3
81	в себе	1	3
82	в поэзии	5	3
83	слово в	3	3
84	для него	1	3
85	не к	1	3
86	то ни	1	3
87	и с	3	3
88	точек зрения	2	3
89	до сих	8	3
90	ни в	3	3
91	в некоторых	2	3
92	и пр	3	3
93	и уже	1	3
94	двух направлениях	2	3
95	в своей	4	3
96	так же	2	3
97	в такой	1	3
