N	3gram	Tiupa_Hudo_1	Marksizm
1	с точки зрения	3	20
2	не может быть	3	13
3	бы то ни	1	8
4	то ни было	1	8
5	в связи с	1	7
6	в настоящее время	1	6
7	и того же	2	5
8	одного и того	2	5
9	в отличие от	7	5
10	с другой стороны	5	5
11	всех без исключения	3	4
12	в отношении к	1	4
13	в этом случае	1	3
14	то же самое	1	3
15	может быть и	2	3
16	все без исключения	1	3
17	то же время	5	3
18	можно сказать что	3	3
19	в то же	5	3
20	для того чтобы	2	3
21	в том что	7	3
22	внутренней речи как	1	2
23	в данный момент	2	2
24	в том числе	2	2
25	в знаковом материале	1	2
26	в таком случае	1	2
27	сама по себе	2	2
28	является одним из	1	2
29	том числе и	1	2
30	точки зрения не	1	2
31	так же как	1	2
32	себе отчет в	1	2
33	не могут быть	1	2
34	отношение знака к	3	2
35	по отношению к	9	2
36	в свою очередь	2	2
37	это и есть	1	2
38	и прежде всего	1	2
39	в этом смысле	3	2
40	тем не менее	3	2
41	и в сущности	1	1
42	место лишь в	1	1
43	прежде всего в	1	1
44	совпадая со своей	1	1
45	ни к каким	1	1
46	по ту сторону	1	1
47	подобно тому как	1	1
48	том что он	1	1
49	в одной из	1	1
50	языка но и	1	1
51	тот или иной	2	1
52	до известной степени	2	1
53	в литературе в	1	1
54	могли бы быть	1	1
55	в основе своей	1	1
56	отчет в том	1	1
57	он ни был	1	1
58	с этой точки	1	1
59	языка в частности	1	1
60	он тем не	2	1
61	ту или иную	1	1
62	так или иначе	3	1
63	в значительной степени	1	1
64	к субъекту и	1	1
65	и не дает	1	1
66	значение дело здесь	1	1
67	может служить знаком	1	1
68	с одной стороны	2	1
69	наиболее глубокий и	1	1
70	точки зрения и	1	1
71	во втором случае	1	1
72	а в том	1	1
73	во внутренней речи	1	1
74	она могла бы	1	1
75	более или менее	5	1
76	в русском языке	1	1
77	внутренней речи а	1	1
78	этой точки зрения	1	1
79	и в самом	1	1
80	во времени и	1	1
81	является как бы	1	1
82	в данном отношении	1	1
83	друг от друга	1	1
84	в данном контексте	2	1
85	таким образом и	1	1
86	к тому что	2	1
87	таким образом с	1	1
88	той или иной	4	1
89	речи как бы	1	1
