N	3gram	Berdyaev_N_1	OGranits
1	не может быть	4	4
2	есть прежде всего	1	3
3	в зависимости от	1	2
4	с одной стороны	2	2
5	с другой стороны	2	2
6	в том что	1	2
7	что в этом	1	1
8	только потому что	1	1
9	они считают себя	1	1
10	равно как и	2	1
11	подобно тому как	3	1
12	мы должны перейти	1	1
13	и не может	1	1
14	в человеческом обществе	1	1
15	в отличие от	1	1
16	то что в	1	1
17	можно было бы	1	1
18	о переходе от	1	1
19	так же как	2	1
20	и вместе с	1	1
21	не должно быть	1	1
22	это конечно не	1	1
23	вступает в свои	1	1
24	в свои права	2	1
25	та или иная	1	1
26	выходит за пределы	1	1
27	как и в	1	1
