N	4gram	Bakhtin_Pr_1	Formalny
1	в то же время	3	5
2	и в то же	2	3
3	и не может быть	1	2
4	в том смысле что	1	2
5	отсюда отнюдь не следует	1	2
6	и в этом отношении	1	2
7	отнюдь не следует что	1	2
8	не для того чтобы	1	1
9	в области наук об	1	1
10	следует однако отметить что	1	1
11	не выходя за пределы	2	1
12	ведь в противном случае	1	1
13	бы то ни стало	1	1
14	во всех своих моментах	2	1
15	что бы то ни	1	1
16	в этом смысле мы	2	1
17	в высшей степени характерно	1	1
18	в чем не выходя	1	1
19	от одного к другому	1	1
20	в противном случае мы	1	1
21	во что бы то	1	1
22	не в том что	1	1
23	выходя за пределы произведения	1	1
24	не чем иным как	1	1
25	не что иное как	1	1
26	в значительной степени и	1	1
27	в его целом ни	1	1
28	не могут быть поняты	1	1
29	так называемый формальный метод	1	1
30	не говоря уже о	1	1
31	иметь в виду что	1	1
32	не может быть конечно	1	1
33	ни в чем не	2	1
34	там где оно не	1	1
35	и иной чем в	1	1
36	но в то же	1	1
37	хотя бы в пределах	1	1
38	чем не выходя за	1	1
39	есть не что иное	1	1
40	хотя и иной чем	1	1
