N	2gram	Tiupa_Hudo_2	Problemy
1	и в	28	35
2	как бы	5	31
3	и не	18	27
4	что он	8	24
5	в его	11	21
6	но в	2	19
7	как и	11	18
8	к себе	3	18
9	не может	4	18
10	себе самому	1	18
11	о себе	3	17
12	к другому	1	16
13	в нем	3	16
14	то есть	1	16
15	то же	6	15
16	с самим	2	15
17	и все	7	15
18	в сущности	1	14
19	в этом	13	14
20	и его	5	14
21	для него	5	14
22	может быть	8	14
23	но и	9	14
24	все это	3	14
25	он не	4	13
26	что я	2	13
27	к нему	3	13
28	и с	6	12
29	в другом	2	12
30	прежде всего	3	12
31	и к	2	12
32	в пределах	1	11
33	в то	6	11
34	слова и	1	11
35	самом деле	3	10
36	не только	11	10
37	не в	13	10
38	же время	4	10
39	героя и	3	10
40	рассказа в	4	10
41	то что	6	10
42	а я	1	10
43	самим собою	2	9
44	ни одного	2	9
45	мы уже	3	8
46	я не	7	8
47	все же	2	8
48	самого начала	1	8
49	как мы	2	8
50	с самого	1	8
51	так и	8	8
52	себя и	2	8
53	и для	2	8
54	потому что	2	8
55	еще не	3	7
56	на них	1	7
57	с его	5	7
58	себе и	1	7
59	самим собой	1	7
60	лишь в	2	7
61	там где	1	7
62	я сам	1	7
63	для себя	6	7
64	и сам	5	7
65	в виде	2	7
66	вовсе не	2	7
67	так же	3	7
68	что же	2	7
69	точки зрения	2	7
70	с ним	7	7
71	а в	6	7
72	отношении к	1	7
73	отношению к	7	7
74	и на	3	6
75	он сам	2	6
76	но не	4	6
77	по отношению	7	6
78	отношение к	2	6
79	что они	4	6
80	в самом	5	6
81	чужое слово	1	6
82	что у	3	6
83	в каждом	1	6
84	в слове	1	6
85	у меня	1	6
86	к тому	7	6
87	в одном	3	6
88	и что	1	6
89	только в	4	6
90	на меня	1	6
91	и т.п	1	6
92	но это	1	6
93	не знает	1	6
94	что в	5	6
95	и то	2	5
96	с собою	1	5
97	как в	5	5
98	в себе	9	5
99	пределах одного	1	5
100	он и	1	5
