N	2gram	Tiupa_Narr_1	Istorich
1	и в	19	26
2	в сказке	1	23
3	мы имеем	2	14
4	никогда не	3	13
5	потому что	1	13
6	и на	3	12
7	в этом	17	12
8	таким образом	1	12
9	в том	18	12
10	что в	3	12
11	мы видели	1	11
12	может быть	25	11
13	связь с	1	11
14	не только	32	10
15	том что	14	10
16	с другой	8	10
17	и не	20	10
18	еще не	7	9
19	о смерти	1	9
20	а именно	3	9
21	что он	6	9
22	но и	23	9
23	все эти	2	8
24	все же	7	8
25	в нем	4	8
26	на том	3	8
27	с ним	1	8
28	другой стороны	4	8
29	например в	2	7
30	но в	6	7
31	мы можем	1	7
32	и его	5	7
33	о том	6	7
34	с одной	7	7
35	уже не	5	7
36	у него	4	7
37	одной стороны	7	7
38	мы уже	1	6
39	мы не	1	6
40	как в	7	6
41	в русской	1	6
42	и с	4	6
43	с появлением	1	6
44	то что	11	6
45	и там	1	6
46	не может	10	6
47	то же	4	5
48	в ней	3	5
49	за собой	4	5
50	не будет	3	5
51	как и	7	5
52	в то	3	5
53	очень часто	1	5
54	так и	9	5
55	в его	9	5
56	только в	4	5
57	тем что	3	5
58	связаны с	1	5
59	у нас	1	5
60	как это	6	5
61	его в	2	5
62	как мы	3	4
63	и он	3	4
64	с его	6	4
65	что оно	1	4
66	но как	2	4
67	из этих	3	4
68	на его	1	4
69	на земле	1	4
70	и по	1	4
71	здесь мы	1	4
72	это не	2	4
73	и тем	4	4
74	не всегда	2	4
75	том свете	2	4
76	а также	7	4
77	что и	1	4
78	до сих	1	4
79	прежде всего	4	4
80	зависит от	2	4
81	одну из	2	4
82	как бы	4	4
83	в это	1	4
84	сих пор	1	4
85	в книге	1	4
86	но это	1	4
87	в античности	1	4
88	же как	3	3
89	и через	1	3
90	и то	1	3
91	там же	1	3
92	должна быть	2	3
93	из которых	4	3
94	это еще	1	3
95	ее к	1	3
96	или иное	2	3
97	независимо от	2	3
98	когда он	3	3
99	и наконец	1	3
100	та же	2	3
101	в себе	8	3
102	при этом	9	3
103	если бы	1	3
104	в них	1	3
105	таким же	1	3
106	и ее	2	3
107	не в	14	3
108	их в	1	3
109	приводят к	1	3
110	она не	2	3
111	к концу	1	3
112	могут быть	3	3
113	как только	1	3
114	вокруг него	2	3
115	приходит к	2	3
116	данном случае	4	3
117	от него	1	3
118	один из	3	3
119	в сказании	2	3
120	в качестве	21	3
121	не происходит	1	3
122	от того	1	3
