N	3gram	Bakhtin_fo_2	Problema
1	и т д	3	10
2	то же самое	2	9
3	для того чтобы	7	8
4	в данном случае	1	8
5	о том что	1	5
6	в том что	3	5
7	в то же	4	4
8	в конце концов	1	4
9	же самое время	1	4
10	на самом деле	1	4
11	той или иной	1	4
12	в связи с	7	4
13	в литературе и	1	4
14	то есть в	1	4
15	можно сказать что	1	3
16	с другой стороны	1	3
17	может быть и	2	3
18	до сих пор	2	3
19	сами по себе	2	3
20	вовсе не является	1	3
21	то что в	1	3
22	с точки зрения	8	3
23	о том как	3	2
24	со всеми своими	1	2
25	а также и	1	2
26	мы вовсе не	1	2
27	и в этом	3	2
28	они вовсе не	1	2
29	и того же	1	2
30	в этом случае	2	2
31	так как он	1	2
32	не может быть	1	2
33	и как бы	1	2
34	одного и того	1	2
35	с тем что	1	2
36	о которых мы	1	2
37	потому что тут	1	2
38	как мы увидим	1	2
39	во всех этих	3	2
40	по своему содержанию	1	2
41	это вовсе не	1	2
42	литературе и в	1	1
43	и должно быть	2	1
44	и что будет	1	1
45	в другом случае	1	1
46	не выходит за	1	1
47	связи с этим	2	1
48	это значит что	2	1
49	и ни для	1	1
50	то что было	2	1
51	же самое мы	1	1
52	ни для кого	1	1
53	и во всех	2	1
54	а следовательно и	2	1
55	и в то	3	1
56	и в результате	1	1
57	не для того	2	1
58	как и в	1	1
59	себя как бы	1	1
60	всех этих случаях	1	1
61	друг на друга	2	1
62	и т п	11	1
63	а вовсе не	1	1
64	на первый план	2	1
65	но в то	1	1
66	к тому что	1	1
67	здесь в самом	1	1
68	в том же	4	1
69	сводится к тому	1	1
70	и никак не	1	1
71	и то же	1	1
72	на первый взгляд	1	1
73	в погоне за	1	1
74	в то время	1	1
75	но в конце	1	1
76	во всех случаях	1	1
77	мы будем говорить	1	1
78	всех этих актов	1	1
79	не было бы	2	1
80	о чем подробно	1	1
81	не только в	5	1
82	в этом отношении	2	1
83	есть прежде всего	1	1
84	только в этом	1	1
85	то есть как	1	1
86	в скрытой форме	1	1
87	вместе с тем	1	1
88	тот или иной	1	1
89	мы здесь не	1	1
90	сказать что здесь	1	1
91	выходит за пределы	1	1
92	и в другом	1	1
93	мы уже сказали	3	1
94	то время как	1	1
95	также и в	1	1
96	это не значит	1	1
97	как мы видели	1	1
98	в дальнейшем мы	2	1
99	как мы уже	4	1
100	и в них	1	1
101	одно и то	1	1
102	иной раз и	1	1
