N	3gram	Tiupa_Narr_1	StatiiOP
1	в том что	5	11
2	не может быть	4	5
3	по крайней мере	1	4
4	с точки зрения	1	4
5	в этом отношении	3	4
6	во всяком случае	2	4
7	с другой стороны	1	4
8	о том что	2	4
9	состоит в том	2	3
10	в связи с	2	3
11	то же время	4	3
12	не только в	6	3
13	на то что	2	3
14	в то же	4	3
15	но и в	2	2
16	до сих пор	2	2
17	в ряде случаев	1	2
18	если бы между	1	2
19	что это за	1	2
20	с одной стороны	1	2
21	но все же	1	2
22	к тому что	1	2
23	а с другой	1	2
24	тем не менее	3	2
25	и т д	1	2
26	можно сказать что	2	1
27	всех действующих лиц	1	1
28	из этих двух	2	1
29	потому что в	1	1
30	одна из этих	1	1
31	на себя внимание	3	1
32	а не в	1	1
33	более или менее	1	1
34	на самом деле	1	1
35	в самом деле	2	1
36	по тем или	1	1
37	то же самое	2	1
38	он не может	1	1
39	не было и	2	1
40	что он уже	1	1
41	них как бы	1	1
42	здесь следует признать	1	1
43	сам по себе	1	1
44	и не мог	1	1
45	том что именно	1	1
46	связи с этим	1	1
47	для одного из	1	1
48	как у карамзина	1	1
49	об этом не	1	1
50	к жизни и	1	1
51	как бы из	1	1
52	как раз в	2	1
53	в самом начале	1	1
54	обращает на себя	3	1
55	в поле зрения	1	1
56	в известном смысле	2	1
57	по большей части	3	1
58	тем или иным	2	1
59	в той или	1	1
60	в этом и	3	1
61	на том как	1	1
62	что не имеет	1	1
63	может быть не	2	1
64	же можно сказать	1	1
65	в свою очередь	2	1
66	к этому времени	1	1
67	свое отражение в	1	1
68	на протяжении всего	1	1
69	что у него	1	1
70	и в самом	1	1
71	не встречается ни	1	1
72	той или иной	4	1
73	речь идет о	3	1
74	его жизни но	1	1
75	становится очевидным что	1	1
76	для того чтобы	3	1
77	что я за	1	1
78	у карамзина в	1	1
79	значении этого термина	1	1
80	как мы видели	1	1
81	в русской литературе	1	1
