N	4gram	Voloshinov_1	Myshleni
1	одно и то же	3	3
2	в том и другом	1	2
3	одной и той же	2	2
4	все больше и больше	2	2
5	в той же мере	1	2
6	речи но все же	1	1
7	и не может быть	1	1
8	внутренней и внешней речи	1	1
9	в то же самое	2	1
10	то же самое время	2	1
11	не связанных между собой	1	1
12	не что иное как	2	1
13	как мы видели не	1	1
14	остается тем же самым	1	1
15	нет и не может	1	1
16	в одной и той	1	1
17	но для того чтобы	2	1
18	то же самое происходит	1	1
19	как мы увидим ниже	1	1
20	но вместе с тем	1	1
21	одном и том же	1	1
22	и то же слово	2	1
23	есть не что иное	2	1
