N	3gram	Berdyaev_O_1	Istorich
1	в том что	1	5
2	том что в	1	2
3	и то что	1	2
4	во всяком случае	1	2
5	о том что	1	2
6	как и в	1	2
7	все еще не	1	1
8	хотя и не	1	1
9	и к нему	1	1
10	но и в	2	1
11	с тем что	2	1
12	этого она не	1	1
13	и на нем	1	1
14	смысле этого слова	1	1
15	говорят о том	1	1
16	и в том	1	1
17	от разрушения и	1	1
18	еще одну особенность	1	1
19	и прежде всего	1	1
20	одна из сторон	1	1
21	не может быть	2	1
22	прежде всего он	1	1
23	на то что	1	1
24	в русской и	1	1
25	после того как	1	1
26	что не все	1	1
27	друг с другом	1	1
28	и все что	1	1
