N	3gram	Vinokur_Ku_3	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	в связи с	4	3
4	с точки зрения	16	2
5	не может быть	3	2
6	и о том	1	2
7	в том что	8	2
8	можно говорить об	1	1
9	далеко не все	1	1
10	в этом смысле	1	1
11	тем более что	2	1
12	а тем более	1	1
13	до сих пор	8	1
14	и не может	1	1
15	у тургенева в	1	1
16	а также в	1	1
17	но и как	1	1
18	по крайней мере	1	1
19	может быть и	1	1
20	и в то	1	1
21	войне и мире	1	1
22	так же как	1	1
23	в известном смысле	2	1
24	и в этом	4	1
25	а с другой	3	1
26	не только как	3	1
27	во всяком случае	1	1
28	от того как	2	1
29	с другой стороны	3	1
30	тем не менее	9	1
31	в войне и	1	1
32	заключается в том	1	1
33	в то время	1	1
34	в свою очередь	1	1
35	что в ней	1	1
36	о том что	3	1
37	и в самом	4	1
38	не только не	1	1
39	с помощью которых	1	1
40	но в этом	1	1
41	не с точки	1	1
42	они как бы	1	1
43	имеется в виду	1	1
