N	3gram	Tiupa_Anal_1	OGranits
1	с точки зрения	4	5
2	не может быть	16	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	по отношению к	5	3
6	одно и то	1	3
7	что иное как	5	2
8	в самом деле	2	2
9	в зависимости от	1	2
10	полном соответствии с	1	2
11	в данном случае	2	2
12	в полном соответствии	1	2
13	с одной стороны	3	2
14	и то же	1	2
15	с другой стороны	2	2
16	того или иного	3	2
17	есть не что	3	2
18	не что иное	4	2
19	в том что	9	2
20	один и тот	1	1
21	литературного произведения как	5	1
22	этой точки зрения	1	1
23	а вовсе не	1	1
24	более или менее	1	1
25	равно как и	1	1
26	в широком понимании	1	1
27	стороны литературное произведение	1	1
28	подобно тому как	3	1
29	говорить не приходится	1	1
30	то же самое	2	1
31	и не может	4	1
32	во всей своей	1	1
33	в достаточной мере	1	1
34	в отличие от	6	1
35	нет и не	2	1
36	между тем как	1	1
37	в этом отношении	2	1
38	в собственном смысле	1	1
39	может и должно	1	1
40	ни одно слово	1	1
41	эстетического объекта и	1	1
42	с этой точки	1	1
43	то или иное	1	1
44	для того чтобы	3	1
45	в науке о	1	1
46	все эти три	1	1
47	далеко не всегда	2	1
48	и тот же	1	1
49	состоит в том	3	1
50	и вместе с	1	1
51	и к тому	2	1
52	и как бы	1	1
53	в связи с	1	1
54	течение всего своего	1	1
55	прежде всего в	1	1
56	собственном смысле слова	1	1
57	то же время	6	1
58	включает в себя	1	1
59	собственно говоря и	3	1
60	но в то	2	1
61	в конечном счете	4	1
62	выходит за пределы	1	1
63	в течение всего	1	1
64	возможно только в	1	1
65	в то же	8	1
66	к тому что	1	1
67	не знает категории	1	1
68	тех или иных	2	1
69	языка но в	1	1
70	всей своей полноте	1	1
71	как и в	1	1
