1	в собственном смысле слова	2	3
2	в том числе и	1	3
3	с одной стороны и	2	2
4	то же самое что	1	2
5	в сущности ничего не	1	2
6	прав в том что	2	2
7	все более и более	2	1
8	а в связи с	1	1
9	в той или иной	3	1
10	никогда не может быть	1	1
11	несмотря на то что	1	1
12	бы то ни было	4	1
13	на самом же деле	3	1
14	его внутренней речи и	1	1
15	как если бы он	3	1
16	ни в коем случае	2	1
17	в том что он	2	1
18	рядом друг с другом	1	1
19	дело в том что	1	1
20	в тех областях где	1	1
21	в коем случае не	1	1
