N	3gram	Tiupa_Narr_1	Mirosoze
1	не может быть	5	17
2	а не в	2	4
3	не может не	2	2
4	прежде всего в	1	2
5	по отношению к	6	2
6	он не может	1	2
7	до сих пор	1	2
8	к тому чтобы	1	2
9	не только в	2	2
10	он уже не	1	2
11	в нем не	1	2
12	а не только	1	2
13	может быть художественно	1	1
14	что иное как	2	1
15	никогда не было	1	1
16	а иногда и	1	1
17	между людьми и	1	1
18	в себе самом	1	1
19	в самом деле	1	1
20	так и не	2	1
21	бы он ни	1	1
22	и не было	1	1
23	в отличие от	5	1
24	и быть может	1	1
25	но это не	1	1
26	он ни был	1	1
27	нет у него	2	1
28	может быть и	1	1
29	в мышлении и	1	1
30	не имеет для	1	1
31	и не быть	1	1
32	отношению к нему	1	1
33	в значительной степени	2	1
34	она все же	1	1
35	несет в себе	1	1
36	не мог бы	1	1
37	но не может	1	1
38	как бы не	1	1
39	в мире и	1	1
40	на протяжении всего	1	1
41	должна быть признана	1	1
42	ни с чем	1	1
43	о том что	6	1
44	мог бы быть	2	1
45	есть прежде всего	1	1
46	не что иное	2	1
47	можно было бы	2	1
48	в том что	8	1
