N	2gram	Vinokur_Ku_1	StatiiOP
1	и в	24	29
2	том что	21	27
3	в том	30	27
4	в этом	14	21
5	не только	10	19
6	но и	6	19
7	что в	17	19
8	о том	9	17
9	в его	12	13
10	что он	6	13
11	между прочим	2	12
12	в которой	6	11
13	то что	9	11
14	все это	6	11
15	таким образом	12	10
16	к тому	5	10
17	т е	38	10
18	и т	33	9
19	в своем	3	9
20	он не	2	9
21	потому что	23	9
22	так и	7	9
23	этом отношении	5	9
24	и не	12	9
25	пушкин и	2	9
26	как на	3	9
27	но в	2	8
28	как раз	8	8
29	и пр	15	8
30	письме к	1	8
31	я не	2	7
32	в ней	6	7
33	в самом	10	7
34	так например	2	7
35	но все	2	7
36	в г	3	7
37	в своей	2	7
38	в котором	3	7
39	не столько	2	7
40	тому что	3	7
41	того как	4	7
42	для того	16	7
43	в виду	5	7
44	с тем	5	7
45	вместе с	7	7
46	одним из	2	6
47	вопрос о	2	6
48	и на	4	6
49	все же	12	6
50	т д	14	6
51	вовсе не	10	6
52	того чтобы	17	6
53	и его	5	6
54	об этом	1	6
55	и что	5	6
56	в одном	3	6
57	до сих	4	6
58	пушкин в	1	5
59	было бы	15	5
60	точки зрения	14	5
61	была бы	3	5
62	в языке	8	5
63	того что	9	5
64	между тем	5	5
65	в качестве	7	5
66	своего рода	1	5
67	в письме	1	5
68	обратить внимание	2	5
69	прежде всего	9	5
70	а не	8	5
71	о чем	2	5
72	в той	5	5
73	как бы	7	5
74	сих пор	4	5
75	если б	2	4
76	речь идет	2	4
77	то обстоятельство	8	4
78	кроме того	1	4
79	на память	1	4
80	хотя и	3	4
81	не приходится	1	4
82	по словам	1	4
83	в нем	4	4
84	что у	1	4
85	и с	5	4
86	не в	11	4
87	еще до	1	4
88	дело в	1	4
89	пушкина но	1	4
90	ничего не	2	4
91	обстоятельство что	8	4
92	пушкина на	1	4
93	но также	2	4
94	разумеется что	2	4
95	после того	1	4
96	внимание на	4	4
97	но с	2	4
98	связи с	7	4
99	в значении	2	4
100	для него	1	4
101	до того	2	4
102	с другой	7	4
103	именно в	6	4
104	в речи	3	4
105	в частности	4	4
106	своего времени	2	4
107	еще более	1	4
108	к этому	1	4
109	вряд ли	1	3
110	например в	5	3
111	же как	1	3
112	самом деле	9	3
113	на самом	2	3
114	идет о	2	3
115	в году	1	3
116	в их	3	3
117	его не	1	3
118	хотя бы	10	3
119	и он	3	3
120	не был	1	3
121	но не	5	3
122	не то	1	3
123	в общем	3	3
124	которые не	1	3
125	меньше всего	2	3
126	как в	4	3
127	с этим	4	3
128	не было	3	3
129	что это	5	3
130	в известном	1	3
131	тому же	1	3
132	вообще не	1	3
133	в начале	1	3
134	в россии	1	3
135	из них	4	3
136	ни в	2	3
137	не мог	2	3
138	в этих	4	3
139	и сейчас	1	3
140	но он	1	3
141	по себе	2	3
142	пять лет	1	3
143	не менее	7	3
144	что ему	1	3
145	иметь в	1	3
146	не могло	1	3
147	никогда не	2	3
148	нельзя не	1	3
149	на себя	3	3
150	и по	1	3
151	это слово	3	3
152	тем что	8	3
153	у нас	10	3
154	и именно	2	3
155	сомневаться в	1	3
156	оно не	3	3
157	сам пушкин	1	3
158	за то	1	3
159	столько же	1	3
160	и здесь	3	3
161	должно было	1	3
162	но это	1	3
163	русского языка	9	3
164	вот что	1	3
165	так что	4	3
166	ни одного	2	3
167	борьбы с	1	3
168	года пушкин	1	3
169	всяком случае	5	3
170	т п	18	3
171	связан с	1	3
172	что на	1	3
173	и даже	3	3
174	еще и	5	3
175	а с	3	3
176	до конца	2	3
177	так же	4	3
178	xix века	5	3
179	другой стороны	6	3
180	не является	2	3
181	другое дело	2	3
182	давно уже	1	3
183	отношении к	1	3
184	во всяком	5	3
185	также и	2	2
186	того же	4	2
187	только потому	6	2
188	смысл этого	1	2
189	из его	1	2
190	то же	8	2
191	поэзии и	1	2
192	в письмах	1	2
193	для своего	1	2
194	действующего лица	1	2
195	в числе	2	2
196	это время	1	2
197	пушкина где	1	2
198	в сочетании	1	2
199	с его	4	2
200	за него	1	2
201	присутствует в	1	2
202	тогда как	2	2
203	отличие от	1	2
204	что они	4	2
205	на то	4	2
206	к сожалению	1	2
207	там где	4	2
208	в истории	3	2
209	мере в	6	2
210	в одной	1	2
211	и как	2	2
212	по пути	1	2
213	на тот	1	2
214	более или	3	2
215	все эти	6	2
216	выражение в	1	2
217	в этой	3	2
218	в себе	3	2
219	для которых	2	2
220	в словаре	1	2
221	и те	1	2
222	как он	1	2
223	на его	3	2
224	больше всего	2	2
225	при этом	6	2
226	если бы	9	2
227	тем не	4	2
228	и более	2	2
229	том же	2	2
230	то ни	1	2
231	конечно в	1	2
232	не дает	1	2
233	его в	1	2
234	это было	2	2
235	на почве	1	2
236	истории и	1	2
237	которая была	1	2
