N	2gram	Medvedev_F_3	Vladivir
1	и в	27	40
2	то что	8	28
3	не только	9	25
4	и не	30	25
5	учение о	2	24
6	том что	4	18
7	в том	7	18
8	но и	10	18
9	еще и	1	18
10	что в	8	17
11	в этом	18	16
12	в его	7	14
13	так что	1	14
14	не может	24	14
15	точки зрения	16	13
16	вовсе не	28	13
17	только в	8	13
18	в конце	3	12
19	даже и	1	12
20	сказать что	3	12
21	никогда не	5	11
22	потому что	7	11
23	таким образом	18	11
24	о том	4	11
25	не просто	1	10
26	ни в	8	10
27	тем не	2	10
28	и его	19	10
29	то это	1	10
30	не есть	4	10
31	прежде всего	4	10
32	как раз	8	10
33	и потому	5	10
34	и то	1	9
35	уже не	3	9
36	что это	3	9
37	в себе	3	9
38	и с	3	9
39	в своей	6	9
40	не менее	7	9
41	что же	5	9
42	как мы	8	8
43	в своем	2	8
44	в этой	2	8
45	он не	1	8
46	не был	1	8
47	и что	3	8
48	раз и	3	8
49	для него	1	8
50	может быть	25	8
51	а не	17	8
52	так же	9	8
53	а только	1	7
54	хотя и	1	7
55	и как	4	7
56	и если	1	7
57	с тем	7	7
58	как и	14	7
59	в то	7	7
60	там же	1	7
61	что и	2	7
62	того что	3	7
63	так как	9	7
64	вместе с	6	7
65	к тому	4	7
66	а в	1	7
67	в своих	6	7
68	смысле слова	2	6
69	оно есть	1	6
70	и на	3	6
71	кроме того	1	6
72	то в	2	6
73	не будет	1	6
74	с точки	14	6
75	по себе	4	6
76	в смысле	4	6
77	и это	2	6
78	и от	11	6
79	так и	21	6
80	об этом	1	6
81	и здесь	1	6
82	и даже	2	6
83	да и	4	6
84	это значит	2	6
85	но это	2	6
86	хотя бы	6	6
87	отношения к	2	5
88	мы уже	3	5
89	в ней	5	5
90	совсем не	5	5
91	отнюдь не	8	5
92	в истории	5	5
93	все эти	6	5
94	тоже не	1	5
95	можно было	1	5
96	же касается	1	5
97	можно считать	1	5
98	должно быть	1	5
99	но если	2	5
100	в отношении	2	5
101	дело в	2	5
102	тем что	5	5
103	для нас	3	5
104	ничего не	2	5
105	у нас	3	5
106	еще в	3	5
107	с другой	6	5
108	конце концов	2	5
109	что он	6	5
110	только на	4	5
111	в одном	1	5
112	не было	1	5
113	в данном	6	5
114	это учение	2	5
115	в самом	11	4
116	то же	15	4
117	и о	1	4
118	но даже	1	4
119	учение об	1	4
