N	3gram	Tiupa_Anal_2	VLabPisa
1	в этом отношении	3	13
2	с другой стороны	2	8
3	не может быть	1	8
4	по отношению к	4	7
5	более или менее	1	6
6	хотя бы и	1	5
7	то же время	2	5
8	в конечном счете	2	5
9	в то же	2	5
10	в связи с	1	4
11	можно сказать что	1	4
12	в том что	6	4
13	не удивительно что	3	3
14	о том же	1	3
15	а всего лишь	1	3
16	о том что	6	3
17	к тому что	1	3
18	следует понимать как	1	2
19	подобно тому как	3	2
20	только то что	1	2
21	можно было бы	2	2
22	по крайней мере	3	2
23	с одной стороны	4	2
24	в результате чего	2	2
25	во всех этих	1	2
26	из них не	1	2
27	носит в себе	1	2
28	этой точки зрения	1	2
29	в частности в	2	2
30	не только не	2	2
31	в каждом отдельном	1	2
32	если бы он	1	1
33	том смысле что	1	1
34	на этот вопрос	1	1
35	бы он был	1	1
36	в творческом процессе	1	1
37	как один из	1	1
38	что один из	1	1
39	в самом деле	1	1
40	в этом смысле	2	1
41	в соответствии с	2	1
42	и он же	2	1
43	с этой точки	1	1
44	как это было	1	1
45	и во всех	1	1
46	в таком случае	2	1
47	сами по себе	1	1
48	сама по себе	1	1
49	но и в	1	1
50	том или ином	2	1
51	в противном случае	1	1
52	со всех сторон	1	1
53	о свободе воли	2	1
54	одно и то	1	1
55	так или иначе	1	1
56	в применении к	1	1
57	в том или	2	1
58	приводит к тому	1	1
59	в данном случае	5	1
60	не только в	2	1
61	него могут быть	1	1
62	то же самое	1	1
63	и то же	1	1
64	очень близко к	1	1
65	же свидетельствует и	1	1
66	одна из них	1	1
67	повествования во всех	1	1
68	имеем дело с	1	1
69	не случайно и	1	1
70	ответ на этот	1	1
71	почти то же	1	1
72	а между тем	1	1
73	а не только	2	1
74	того или иного	3	1
75	а в том	1	1
76	именно к этому	1	1
77	в свою очередь	1	1
78	его собственному признанию	1	1
79	но и для	1	1
80	той или иной	3	1
81	в этой системе	2	1
82	ни одна из	1	1
83	а как бы	1	1
84	основательно прежде всего	1	1
85	в том смысле	1	1
86	по его собственному	1	1
87	бы и в	1	1
88	мы имеем дело	3	1
89	дело не в	1	1
90	к тому же	4	1
91	том же свидетельствует	1	1
92	не только для	1	1
