N	3gram	Losev_Prob_5	Dialekti
1	и т д	1	19
2	с точки зрения	8	12
3	сама по себе	1	8
4	в том что	8	7
5	сам по себе	1	6
6	то же время	1	4
7	можно было бы	1	4
8	по крайней мере	4	4
9	с другой стороны	5	4
10	несмотря на всю	1	4
11	на то что	2	4
12	в то же	1	4
13	потому что он	2	3
14	только потому что	1	3
15	в этом смысле	3	3
16	да и то	1	3
17	в конце концов	6	3
18	и в этом	1	3
19	не может быть	2	3
20	содержит в себе	1	3
21	можно сказать что	3	3
22	той или иной	1	3
23	то что я	1	2
24	зная что такое	1	2
25	на самом деле	1	2
26	как это мы	1	2
27	в себе самом	1	2
28	мы находим в	2	2
29	до сих пор	2	2
30	и то и	1	2
31	если она не	1	2
32	в этом отношении	1	2
33	точно так же	3	2
34	несмотря на то	1	2
35	то или иное	1	2
36	то и другое	2	2
37	и состоит из	1	2
38	и в частности	3	2
39	не зная что	1	2
40	с одной стороны	3	2
41	или по крайней	1	2
42	во всяком случае	2	2
43	ни в чем	1	2
44	по себе а	1	2
45	это и есть	1	2
46	к свету и	1	2
47	о том что	9	2
48	с этой стороны	1	2
49	это уже не	2	1
50	крайней мере в	1	1
51	в чем не	1	1
52	хотя и не	1	1
53	одному тому что	1	1
54	по одному тому	1	1
55	дело в том	2	1
56	то время как	3	1
57	должны сказать что	1	1
58	в самом деле	1	1
59	но даже и	2	1
60	так или иначе	1	1
61	не больше как	1	1
62	так что в	1	1
63	ее надеждами и	1	1
64	также и учение	1	1
65	но ясно что	2	1
66	как раз и	1	1
67	у него и	1	1
68	как то что	1	1
69	дня и ночи	1	1
70	как мы увидим	1	1
71	но это не	1	1
72	и не в	2	1
73	ни в какой	1	1
74	ясно что это	1	1
75	бесконечности но в	1	1
76	только и состоит	1	1
77	не потому что	1	1
78	далеко не всегда	3	1
79	даже если она	1	1
80	но в то	1	1
81	с сообщением о	1	1
82	в то время	3	1
83	ничего общего не	1	1
84	жизнь и смерть	1	1
85	в абсолютном смысле	1	1
86	разве только еще	1	1
87	мы прекрасно понимаем	1	1
88	конце концов не	1	1
89	уже по одному	1	1
90	в связи с	7	1
91	в новое время	3	1
92	достаточно глубоко и	1	1
93	связи с этим	1	1
94	если мы будем	1	1
95	и с ней	1	1
96	с самого начала	1	1
97	хотя бы в	1	1
98	и можно сказать	1	1
99	что иное как	3	1
100	но все же	2	1
101	никогда и не	1	1
102	и что она	1	1
103	имеется в виду	1	1
104	и учение о	1	1
105	не что иное	3	1
106	тех или иных	2	1
107	тем не менее	5	1
108	в сравнении с	3	1
109	на всю ее	1	1
110	для того чтобы	2	1
111	а именно в	3	1
112	конечно прежде всего	1	1
113	на первый взгляд	1	1
114	к тому же	1	1
115	и о том	2	1
116	даже и просто	1	1
