N	3gram	Voloshinov_2	Analitik
1	в сочетании с	1	7
2	о том что	3	6
3	в том что	6	6
4	по отношению к	8	4
5	с одной стороны	3	4
6	в этом случае	1	4
7	к тому же	2	4
8	в этом отношении	1	3
9	по крайней мере	2	3
10	того или иного	2	3
11	той или иной	4	3
12	тем не менее	1	3
13	как и в	1	3
14	в нашем понимании	1	2
15	в соответствии с	1	2
16	с точки зрения	13	2
17	в таком случае	3	2
18	в то же	8	2
19	в значительной степени	2	2
20	не только в	1	2
21	в отличие от	3	2
22	с другой стороны	1	2
23	то же время	8	2
24	в конечном счете	1	2
25	на то что	2	2
26	с той или	1	2
27	если бы он	3	1
28	отношению к которым	1	1
29	но и все	1	1
30	в основном соответствует	1	1
31	что иное как	1	1
32	место лишь в	1	1
33	можно сказать что	1	1
34	бы он был	2	1
35	приводит к тому	1	1
36	в данный момент	1	1
37	одним и тем	2	1
38	как бы не	1	1
39	более или менее	2	1
40	к другому в	1	1
41	может быть признано	1	1
42	свидетельствует о том	1	1
43	бы независимо от	1	1
44	сами по себе	1	1
45	но и в	2	1
46	во всех этих	1	1
47	к тому или	1	1
48	обращаясь к нему	1	1
49	которого только и	1	1
50	одна из них	1	1
51	в системе языка	2	1
52	в противном случае	2	1
53	несмотря на то	1	1
54	в данном контексте	2	1
55	до известной степени	1	1
56	и тогда когда	1	1
57	а как бы	1	1
58	не совпадает с	1	1
59	есть в сущности	1	1
60	не только его	1	1
61	в противоречие с	1	1
62	и тем же	2	1
63	тому или иному	1	1
64	и все его	1	1
65	в сущности это	1	1
66	и то же	3	1
67	это было не	1	1
68	так или иначе	1	1
69	в свою очередь	5	1
70	в связи с	7	1
71	одно и то	3	1
72	в первую очередь	1	1
73	внешней и внутренней	1	1
74	было не так	1	1
75	всех этих случаях	1	1
76	же слова часто	1	1
77	лишь одной из	1	1
78	не может быть	10	1
79	отнюдь не является	2	1
80	же самое что	1	1
81	бы это было	1	1
82	ни одна из	1	1
83	не что иное	1	1
84	в самом деле	5	1
85	не менее в	1	1
86	но отнюдь не	1	1
87	к тому что	3	1
88	в отношении к	4	1
89	друг с другом	1	1
90	выходят за пределы	2	1
91	в себе не	1	1
92	то же самое	5	1
