N	3gram	Propp_Isto_2	Myslijsy
1	по отношению к	3	8
2	в том что	5	7
3	в этом случае	5	5
4	не может быть	2	5
5	о том что	2	5
6	мере того как	2	4
7	по мере того	2	4
8	до сих пор	6	4
9	с тем что	3	4
10	сам по себе	1	4
11	на то что	2	4
12	тем не менее	1	4
13	на самом деле	2	3
14	вместе с тем	5	3
15	не то что	1	3
16	и т д	18	3
17	мы не можем	1	3
18	не только не	1	3
19	не в состоянии	1	2
20	что иное как	2	2
21	подобно тому как	3	2
22	так как оно	1	2
23	в этих случаях	8	2
24	так или иначе	1	2
25	то что она	1	2
26	таким образом мы	1	2
27	нельзя сказать чтобы	1	2
28	после того как	2	2
29	не что иное	2	2
30	можем сказать что	1	2
31	мы это увидим	1	1
32	яснее когда мы	1	1
33	и есть то	1	1
34	она и есть	1	1
35	и той же	1	1
36	но так как	1	1
37	состоит в его	1	1
38	еще один вопрос	1	1
39	о том как	1	1
40	со всех сторон	4	1
41	и не только	1	1
42	в виду что	1	1
43	а именно на	1	1
44	но и в	2	1
45	а может быть	1	1
46	эта связь действительно	1	1
47	здесь дело не	1	1
48	это показывает что	1	1
49	точно так же	6	1
50	и здесь мы	1	1
51	другой стороны в	1	1
52	при всей своей	1	1
53	в разных языках	1	1
54	главным образом в	1	1
55	в самых разнообразных	1	1
56	который дает нам	1	1
57	выше мы видели	1	1
58	в это время	1	1
59	это увидим в	1	1
60	же значение как	1	1
61	с одной стороны	3	1
62	смысле этого слова	1	1
63	в связи с	4	1
64	как один из	1	1
65	мы можем предположить	1	1
66	не знает но	1	1
67	что этот образ	1	1
68	если это так	1	1
69	только после того	2	1
70	и дошли до	1	1
71	с другой стороны	2	1
72	т д то	1	1
73	образом мы видим	1	1
74	есть не что	1	1
75	можем предположить что	1	1
76	такое же значение	1	1
77	иметь в виду	2	1
78	что происходит в	1	1
79	тем самым и	1	1
80	и вместе с	2	1
81	имеет такое же	1	1
82	с самого начала	2	1
83	друг от друга	1	1
84	одной и той	1	1
85	только в этом	1	1
86	не думает что	1	1
87	дело не в	2	1
88	в себе в	1	1
89	не вдаваясь в	2	1
90	что это дом	1	1
91	но еще не	1	1
92	мы видели что	1	1
