N	2gram	Medvedev_B_1	Myslijsy
1	таким образом	1	24
2	и в	1	23
3	и не	2	18
4	что в	1	17
5	не было	1	12
6	а не	1	12
7	не только	1	10
8	и потому	1	10
9	было бы	1	8
10	так и	1	6
11	говорить о	1	5
12	не то	2	5
13	по крайней	1	5
14	значение слова	1	5
15	крайней мере	1	5
16	все это	2	5
17	тем более	1	5
18	во всяком	1	5
19	и о	1	4
20	что все	1	4
21	и более	1	4
22	в данном	1	4
23	между ними	1	4
24	на самом	1	3
25	еще не	1	3
26	и на	1	3
27	всяком случае	1	3
28	в речи	1	3
29	кроме того	1	3
30	не вполне	1	2
31	в ней	2	2
32	было говорить	1	2
33	бы только	1	2
34	не следует	1	2
35	значительной степени	1	2
36	об этом	1	2
37	вопрос о	1	2
38	к ней	1	2
39	в области	1	2
40	у нас	3	2
41	можно было	2	2
42	с другой	1	2
43	было и	1	2
44	также что	1	1
45	художественного произведения	1	1
46	по этим	1	1
47	должна быть	1	1
48	меньше чем	1	1
49	не все	1	1
50	для которой	1	1
51	меньшей мере	1	1
52	стоит на	1	1
53	далеко не	1	1
54	в научном	1	1
55	в своей	1	1
56	является только	1	1
57	почти совершенно	1	1
58	по меньшей	1	1
59	на которой	1	1
60	как будто	1	1
61	в пределах	1	1
62	и во	1	1
63	одной из	1	1
64	за пределы	1	1
65	прежде всего	1	1
66	пожалуй и	1	1
67	следовало бы	1	1
68	и нет	1	1
69	все же	1	1
70	его не	1	1
71	нас по	1	1
72	а о	1	1
73	другой стороны	1	1
74	из своей	1	1
