N	2gram	Propp_Isto_3	formyVre
1	и в	22	50
2	в этом	17	25
3	в нем	9	24
4	человека в	1	17
5	и его	4	16
6	прежде всего	3	15
7	и не	12	14
8	как мы	8	14
9	вовсе не	2	13
10	в его	3	13
11	так и	2	12
12	таким образом	10	11
13	человека и	1	11
14	мы уже	6	11
15	то же	6	11
16	может быть	11	11
17	но в	10	10
18	и как	3	10
19	все эти	4	9
20	и др	2	9
21	в том	9	9
22	в других	4	9
23	в то	2	9
24	ничего не	6	9
25	в особенности	2	9
26	роль в	2	9
27	не только	14	9
28	как и	3	8
29	жизни и	2	8
30	у апулея	1	8
31	ни в	2	8
32	и т	16	8
33	но и	12	8
34	и на	4	8
35	и их	1	8
36	не было	2	7
37	героя и	1	7
38	времени в	1	7
39	все же	5	6
40	в частности	5	6
41	не может	4	6
42	так же	3	6
43	связи с	6	6
44	и все	3	6
45	в жизни	2	6
46	в ее	1	6
47	например в	2	6
48	это не	6	6
49	то что	7	6
50	в дальнейшем	4	6
51	с ее	1	6
52	с этим	8	6
53	у него	3	6
54	как в	2	6
55	так как	7	6
56	еще не	10	5
57	в связи	3	5
58	точки зрения	2	5
59	в разных	1	5
60	отношению к	2	5
61	время как	2	5
62	не в	4	5
63	и другие	4	5
64	но не	7	5
65	что в	15	5
66	этот процесс	1	5
67	но все	2	5
68	отнюдь не	1	5
69	если бы	6	5
70	всех этих	2	5
71	могут быть	5	5
72	он не	5	5
73	в основном	1	5
74	и у	3	5
75	в пределах	4	5
76	и до	1	5
77	в образе	1	5
78	и с	4	4
79	мы и	1	4
80	здесь не	3	4
81	и для	2	4
82	в котором	2	4
83	кроме того	1	4
84	между собой	1	4
85	потому что	3	4
86	на этой	1	4
87	этого мира	1	4
88	своей жизни	1	4
89	только в	4	4
90	в них	6	4
91	здесь на	2	4
92	нет ничего	2	4
93	том числе	1	4
94	не имеет	2	4
95	могло быть	3	4
96	то время	2	4
97	все это	1	4
98	в ней	2	4
99	и то	2	4
100	к себе	1	4
101	и это	2	4
102	конечно не	1	4
103	характерно что	1	4
104	том что	8	4
105	в своем	2	4
106	амуре и	2	3
107	не знает	1	3
108	во всяком	2	3
109	входит в	1	3
110	в быту	1	3
111	или в	11	3
112	в качестве	2	3
113	при этом	2	3
114	же в	2	3
115	и ее	3	3
116	для них	3	3
117	что не	2	3
118	есть не	1	3
119	сих пор	5	3
120	до сих	5	3
121	с другими	1	3
122	и те	1	3
123	и вне	1	3
124	с тем	2	3
125	в одном	2	3
126	одно из	1	3
127	со всеми	1	3
128	его в	3	3
129	одной из	1	3
130	здесь это	1	3
131	мы еще	3	3
132	в начале	1	3
133	мы не	1	3
134	в таком	1	3
135	к тому	3	3
136	что и	9	3
137	но они	2	3
138	еще более	2	3
139	хотя и	2	3
140	в этих	11	3
141	и уже	2	3
142	вместе с	9	3
143	по отношению	2	3
144	в порядке	1	3
145	а как	1	3
146	они не	4	3
147	не имеют	2	3
148	сказать что	3	3
149	что было	2	3
150	связаны с	1	3
151	в определенном	1	3
152	только на	2	3
153	один из	5	3
154	и потому	2	3
155	со своей	1	3
156	уже говорили	1	3
157	себе и	2	3
158	друг друга	6	3
159	об амуре	1	3
160	с одной	2	3
161	вообще не	1	3
162	с мотивом	7	3
163	только к	1	3
164	мы видим	8	3
165	себя и	1	3
166	и дает	1	3
167	а в	6	3
168	их в	3	3
169	большую роль	1	3
170	героев и	1	3
171	а не	6	3
172	нас в	1	3
173	к этому	7	3
174	да и	2	3
175	на фоне	1	3
176	для нас	4	2
177	их и	3	2
178	отсюда и	1	2
179	но она	2	2
180	попадает в	11	2
181	зрелости и	1	2
182	его на	2	2
183	вопрос о	2	2
184	лежит вне	1	2
185	но он	4	2
186	это то	1	2
187	в целом	3	2
188	жизнь с	1	2
189	или не	2	2
190	даже не	2	2
191	его от	1	2
192	никто не	2	2
193	но конечно	2	2
194	здесь и	2	2
195	в этот	2	2
196	и тех	1	2
197	они с	1	2
198	в буквальном	1	2
199	друг другу	2	2
200	в каком	1	2
201	вступает в	3	2
202	хотя бы	1	2
203	там где	7	2
204	с ним	1	2
205	можно только	3	2
206	для превращения	1	2
207	в некоторых	5	2
208	уже на	1	2
209	в своей	1	2
210	по себе	1	2
211	как если	1	2
212	жизнь в	1	2
213	стороны и	3	2
214	мы находим	1	2
215	принадлежит к	1	2
216	его и	4	2
217	в которых	2	2
218	было бы	3	2
219	к жизни	2	2
220	отношение к	4	2
221	здесь в	1	2
222	совершенно не	2	2
223	того что	5	2
224	определенном месте	1	2
225	в дом	12	2
226	несколько дней	2	2
227	здесь все	1	2
228	нет и	1	2
229	к ней	4	2
230	к своему	1	2
231	никогда не	3	2
232	с точки	1	2
233	и к	3	2
234	он у	2	2
235	буквальном смысле	1	2
236	этим мы	1	2
237	ее в	3	2
238	человек и	1	2
239	в человека	2	2
240	в чем	3	2
241	в течение	6	2
242	во всем	1	2
243	во все	2	2
244	как она	1	2
245	тому же	2	2
246	превращение в	2	2
247	ясно что	1	2
248	к ним	1	2
249	и даже	2	2
250	на них	1	2
251	той же	2	2
252	уже не	7	2
253	те моменты	1	2
254	ту же	2	2
255	в браке	1	2
256	одной стороны	2	2
257	нет но	1	2
258	одна из	2	2
259	и всей	1	2
260	равно как	3	2
261	была бы	1	2
262	не как	1	2
263	же как	2	2
264	мы должны	7	2
265	здесь еще	1	2
266	далеко не	3	2
267	а мы	3	2
268	не входит	1	2
269	также и	1	2
270	мы будем	1	2
271	он весь	1	2
272	и эта	1	2
273	брак в	1	2
274	здесь также	1	2
275	в различных	1	2
276	быть и	3	2
277	с другой	7	2
278	и прежде	1	2
279	на другой	2	2
280	самого начала	1	2
281	происходит в	2	2
282	с самого	1	2
283	а также	2	2
284	наконец и	1	2
285	но по	3	2
286	чем в	1	2
287	уже в	1	2
288	об этом	1	2
289	на себя	2	2
290	есть только	2	2
291	тем что	4	2
292	эта форма	1	2
293	в соответствии	1	2
294	обычно в	1	2
295	здесь конечно	1	2
296	имеется и	1	2
297	что мы	1	2
298	связь мотива	1	2
299	по всем	1	2
300	и по	1	2
301	как бы	1	2
302	но для	1	2
303	соответствии с	1	2
304	в данном	4	2
305	также очень	1	2
306	в свою	4	2
307	только наиболее	1	1
308	вступают в	2	1
309	вернуться к	1	1
310	форма в	1	1
311	одним из	4	1
312	в брак	14	1
313	не могла	2	1
314	главным образом	1	1
315	их значение	1	1
316	мотива но	1	1
317	на несколько	1	1
318	и здесь	7	1
319	очень много	2	1
320	и совсем	1	1
321	же связь	1	1
322	им и	1	1
323	также с	1	1
324	на себе	1	1
325	в фольклоре	1	1
326	человека как	1	1
327	но есть	2	1
328	которой мы	1	1
329	этого нет	1	1
330	и вот	2	1
331	мы это	1	1
332	брачного возраста	1	1
333	данном случае	3	1
334	указывает ему	1	1
335	в другом	2	1
336	ко мне	2	1
337	от всех	1	1
338	в него	2	1
339	с нею	1	1
340	образом я	1	1
341	он имеет	1	1
342	но один	1	1
343	целого но	1	1
344	два момента	1	1
345	говорит о	1	1
346	в плане	1	1
347	на том	3	1
348	и также	1	1
349	в религиозных	1	1
350	могла бы	1	1
351	можно наблюдать	1	1
352	отличается от	1	1
353	в русском	2	1
354	в один	1	1
355	начинается с	1	1
356	нам важно	2	1
357	ее на	1	1
358	от мира	1	1
359	уже знаем	2	1
360	следует за	2	1
361	перед нами	1	1
362	выходят из	1	1
363	в каких	1	1
364	в доме	12	1
365	дорогой но	1	1
366	него как	1	1
367	она может	1	1
368	необходима для	1	1
369	и тот	1	1
370	начиная с	1	1
371	из этой	2	1
372	же мы	1	1
373	что ты	4	1
374	умирает и	1	1
375	сюда же	2	1
376	на то	1	1
377	где он	1	1
378	случаях когда	1	1
379	на землю	2	1
380	ходит по	1	1
381	дома на	1	1
382	это отношение	1	1
383	что это	1	1
384	в большинстве	1	1
385	бы его	1	1
386	высока и	1	1
387	образом и	2	1
388	женится на	6	1
389	уже видели	3	1
390	героем и	1	1
391	же идет	1	1
392	в тех	2	1
393	жить и	1	1
394	совершенно ясно	1	1
395	поставить вопрос	2	1
396	бы не	1	1
397	связь этих	1	1
398	однако этот	1	1
399	поцелуй и	1	1
400	так что	5	1
401	с нами	1	1
402	человек не	1	1
403	то и	6	1
404	от него	2	1
405	друг с	1	1
406	и вступает	1	1
407	что происходило	1	1
408	а на	1	1
409	так в	6	1
410	характерно для	2	1
411	на ней	5	1
412	такое положение	1	1
413	между прочим	3	1
414	случае в	2	1
415	этой жизни	1	1
416	становится ясным	1	1
417	которой он	1	1
418	и он	2	1
419	они всегда	1	1
420	если не	2	1
421	более общего	1	1
422	в большой	4	1
423	находятся в	1	1
424	в мужской	6	1
425	или даже	1	1
426	были бы	1	1
427	он сам	1	1
428	и обратно	1	1
429	видим в	1	1
430	приходит к	1	1
431	но такая	1	1
432	независимо от	2	1
433	но когда	1	1
434	и только	1	1
435	смысле этого	1	1
436	пока не	1	1
437	этому вопросу	1	1
438	в новом	1	1
439	отличает его	1	1
440	связан с	2	1
441	у героя	1	1
442	своего рода	1	1
443	это уже	1	1
444	который был	2	1
445	вместе со	1	1
446	когда это	1	1
447	и сама	1	1
448	всем мире	1	1
449	здесь мы	5	1
450	но уже	1	1
451	свою очередь	1	1
452	например что	1	1
453	что человек	1	1
454	вплоть до	1	1
455	с другом	1	1
456	и некоторые	2	1
457	что им	2	1
458	дом к	2	1
459	по этому	1	1
460	в корне	1	1
461	очень важный	1	1
