N	2gram	Berdyaev_N_1	Komedia
1	и в	16	22
2	и не	11	21
3	том что	2	13
4	в том	8	12
5	так как	1	11
6	ни в	6	10
7	потому что	4	10
8	в самом	1	9
9	до сих	1	9
10	вместе с	2	9
11	сих пор	1	9
12	в этом	7	8
13	в своем	1	8
14	к ней	1	8
15	о том	4	8
16	в его	1	8
17	что он	1	8
18	не по	1	7
19	в конце	1	7
20	а в	2	7
21	в свою	1	7
22	того же	1	6
23	еще не	3	6
24	в то	2	6
25	и его	1	6
26	к тому	3	6
27	того чтобы	2	6
28	и что	2	6
29	для того	1	6
30	может быть	7	6
31	во время	1	6
32	не хочет	1	5
33	что его	1	5
34	но в	2	5
35	не только	5	5
36	а по	1	5
37	он не	8	5
38	в своей	3	5
39	то это	1	5
40	не менее	4	5
41	к себе	1	5
42	хотя и	2	5
43	с ним	1	5
44	к нему	1	5
45	что в	9	5
46	из них	1	5
47	тем что	1	5
48	прежде всего	4	5
49	как это	2	5
50	все это	5	5
51	на себя	1	4
52	в ней	5	4
53	с другой	3	4
54	нет и	2	4
55	то что	4	4
56	в себе	2	4
57	что она	2	4
58	но все	1	4
59	и с	2	4
60	с тем	3	4
61	не в	6	4
62	у него	2	4
63	друг друга	1	4
64	так и	2	4
65	но и	3	4
66	ничем не	1	4
67	а не	17	4
68	и для	4	4
69	хотя бы	2	4
70	речи о	1	4
71	так же	2	4
72	который в	2	3
73	говорить о	1	3
74	на них	1	3
75	с его	6	3
76	в ее	3	3
77	с этим	2	3
78	и к	5	3
79	в которой	1	3
80	в этой	1	3
81	не могла	2	3
82	в нем	5	3
83	приводит к	1	3
84	от нее	1	3
85	было бы	1	3
86	в них	4	3
87	как и	7	3
88	и еще	1	3
89	но если	1	3
90	их в	1	3
91	к ним	3	3
92	не имеет	4	3
93	никогда не	6	3
94	и мысли	1	3
95	на это	1	3
96	возможно что	1	3
97	должно было	2	3
98	и мы	4	3
99	с одной	2	3
100	что не	1	3
101	всяком случае	1	3
102	и даже	2	3
103	на ее	1	3
104	ему не	1	3
105	не может	16	3
106	конечно не	3	3
107	по своему	4	3
108	одной стороны	2	3
109	бы он	1	3
110	не знает	6	3
111	все что	1	3
112	во всяком	1	3
113	человека и	3	2
114	перед лицом	1	2
115	мы не	2	2
116	в сущности	1	2
117	время как	2	2
118	и на	2	2
119	во всех	3	2
120	отличие от	1	2
121	за пределы	3	2
122	как в	3	2
123	возвращение к	3	2
124	в силу	1	2
125	людей и	1	2
126	человека в	1	2
127	в мире	3	2
128	из всех	1	2
129	не с	1	2
130	с другими	1	2
131	это не	4	2
132	в котором	1	2
133	сам себя	1	2
134	она не	3	2
135	в основе	3	2
136	в области	1	2
137	нет ни	1	2
138	все еще	1	2
139	отказаться от	1	2
140	и это	2	2
141	в виду	1	2
142	то время	1	2
143	роль в	2	2
144	в образе	1	2
145	можно было	2	2
146	наряду с	3	2
147	в эпоху	9	2
148	а также	1	2
149	и во	1	2
150	нуждается в	1	2
151	все время	2	2
152	должен быть	5	2
153	вполне возможно	1	2
154	уже в	1	2
155	нового времени	12	2
156	они будут	1	2
157	от того	1	2
158	до начала	1	2
159	себя и	1	2
160	не было	4	2
161	а на	1	2
162	что мы	1	2
163	ближе к	1	2
164	он и	1	2
165	и особенно	1	2
166	до этого	1	2
167	не могут	1	2
168	по существу	2	2
169	только для	1	2
170	нет ничего	1	2
171	и все	4	2
