N	3gram	Trubetskoy_1	VelikijI
1	что и я	1	3
2	за то что	1	3
3	то что мы	1	3
4	к тому что	1	3
5	а между тем	8	2
6	том что он	2	2
7	не будет уже	1	2
8	в мире если	1	2
9	вместо того чтобы	1	2
10	в вопросе о	2	2
11	в том что	15	2
12	но все же	2	1
13	никогда не было	1	1
14	его к жизни	1	1
15	и в сознании	1	1
16	более всего дорожил	1	1
17	во всем мире	1	1
18	бы то ни	2	1
19	по крайней мере	1	1
20	вместе с тем	2	1
21	не так значительны	1	1
22	и в жизни	1	1
23	от него в	1	1
24	в конце концов	4	1
25	с другой стороны	4	1
26	по сравнению с	5	1
27	в одно целое	1	1
28	и все это	1	1
29	самого себя и	1	1
30	пути на котором	1	1
31	мы видим что	1	1
32	как и в	2	1
