1	к тому же	3	5
2	в том что	1	5
3	то же время	5	4
4	не может быть	4	4
5	в то же	5	4
6	той или иной	3	4
7	тем не менее	2	3
8	по отношению к	5	3
9	но и в	1	2
10	до сих пор	7	2
11	дело в том	1	2
12	друг на друга	2	2
13	в равной степени	1	2
14	как если бы	2	2
15	на то что	2	2
16	в отличие от	4	2
17	одно и то	2	2
18	в связи с	1	2
19	сами по себе	1	2
20	но и на	1	2
21	чужого слова в	3	2
22	о том что	1	2
23	во всяком случае	1	2
24	то же самое	1	2
25	с установкой на	1	2
26	можно сказать что	1	2
27	в самом деле	4	2
28	и то же	2	2
29	его жизни и	1	1
30	бы не было	1	1
31	то что не	1	1
32	по себе но	2	1
33	и не может	4	1
34	не мог бы	1	1
35	самом деле в	1	1
36	большей или меньшей	1	1
37	то ни было	1	1
38	как один из	1	1
39	того о чем	1	1
40	но при этом	2	1
41	одна и та	2	1
42	мере того как	1	1
43	может быть и	2	1
44	и в жизни	1	1
45	по мере того	1	1
46	как и в	3	1
47	сам по себе	5	1
48	на фоне его	1	1
49	и та же	2	1
50	как мы увидим	3	1
51	в значительной степени	1	1
52	не входит в	1	1
53	слова и мысли	2	1
54	но в этом	1	1
55	с точки зрения	8	1
56	и т д	4	1
57	в той или	3	1
58	по крайней мере	1	1
59	чем он был	1	1
60	само по себе	1	1
61	в большей или	1	1
62	на этот раз	1	1
63	такие определения как	1	1
64	в следующей главе	1	1
65	во всех его	1	1
66	том числе и	1	1
67	более или менее	3	1
68	более глубокий и	1	1
69	если бы не	1	1
70	в произведении и	1	1
71	в нем не	1	1
72	не о том	1	1
73	на самом деле	1	1
74	друг с другом	4	1
75	у него нет	1	1
76	но все же	2	1
77	друг от друга	2	1
78	в сущности в	1	1
79	в том числе	1	1
80	бы то ни	1	1
81	лишь в одном	1	1
82	мы не знаем	1	1
83	то же слово	1	1
84	в этих случаях	2	1
85	далеко не исчерпывается	1	1
86	с одной стороны	1	1
87	в той же	1	1
88	здесь не только	1	1
89	же как и	1	1
90	с другой стороны	3	1
91	как и все	4	1
92	в этом последнем	1	1
93	или иной степени	1	1
94	точка зрения как	1	1
