N	3gram	Voloshinov_1	Poddanst
1	в том что	1	4
2	с точки зрения	6	3
3	с одной стороны	1	3
4	сводится к следующему	1	1
5	и пр при	2	1
6	в этом смысле	3	1
7	есть прежде всего	1	1
8	и в этом	2	1
9	вместе с тем	1	1
10	и пр в	1	1
11	касается не только	1	1
12	в применении к	1	1
13	так же как	2	1
14	по сравнению с	3	1
15	но в общем	2	1
16	бы оно ни	1	1
17	во всяком случае	3	1
18	не может быть	3	1
19	и теперь в	1	1
20	мы знаем что	1	1
21	в большинстве случаев	3	1
22	друг с другом	1	1
23	во многих случаях	1	1
24	для того чтобы	1	1
