N	3gram	Potebnia_M_4	SlovoVZh
1	по отношению к	8	11
2	не может быть	5	7
3	можно сказать что	4	5
4	дело в том	1	4
5	в том что	7	4
6	и не может	1	3
7	и по отношению	2	3
8	тем не менее	4	3
9	может быть и	1	3
10	до сих пор	4	3
11	имеет в виду	1	3
12	и не в	1	3
13	это не так	1	2
14	на самом деле	3	2
15	с другой стороны	1	2
16	то же самое	4	2
17	с точки зрения	3	2
18	но тем не	2	2
19	до известной степени	2	2
20	в каком отношении	1	2
21	в данном случае	2	2
22	в настоящее время	1	2
23	с одной стороны	1	2
24	один и тот	2	1
25	а между тем	4	1
26	и в этом	4	1
27	имеем дело с	1	1
28	и потому не	1	1
29	на второй план	1	1
30	только в нем	1	1
31	при этом оно	1	1
32	мы имеем дело	2	1
33	все более и	2	1
34	содержании слова и	1	1
35	одним и тем	1	1
36	бы они ни	1	1
37	друг к другу	1	1
38	во всяком случае	3	1
39	одна и та	1	1
40	но если бы	1	1
41	бы не было	2	1
42	между тем как	2	1
43	и таким образом	3	1
44	в то время	1	1
45	сих пор не	1	1
46	форма поэтического произведения	1	1
47	если бы слово	1	1
48	если же он	1	1
49	как уже сказано	1	1
50	равно как и	2	1
51	сам по себе	4	1
52	и проч и	3	1
53	сами по себе	2	1
54	таким образом мы	2	1
55	в свою очередь	1	1
56	но и в	1	1
57	и та же	1	1
58	о том что	5	1
59	ничего общего с	1	1
60	в этом отношении	1	1
61	с самого начала	1	1
62	то что я	7	1
63	влияние на другие	1	1
64	более и более	2	1
65	в поэтическом произведении	1	1
66	если бы не	2	1
67	отношению к ним	1	1
68	то же время	3	1
69	подобно тому как	2	1
70	не может стать	1	1
71	и здесь мы	1	1
72	даже тогда когда	1	1
73	со всех сторон	1	1
74	может быть только	1	1
75	по крайней мере	5	1
76	в то же	3	1
77	случае мы имеем	1	1
78	не есть только	3	1
79	в том и	2	1
80	каком отношении находится	1	1
81	в такой степени	1	1
82	как и в	1	1
83	и поэтическое произведение	1	1
84	и тем же	1	1
85	ко второму лицу	1	1
86	и притом со	1	1
87	в том же	2	1
88	и тот же	2	1
