N	3gram	Medvedev_F_2	DiskursI
1	в отличие от	2	12
2	в данном случае	1	6
3	в том что	2	6
4	то же время	5	5
5	как и в	1	5
6	в этом отношении	7	4
7	в то же	5	4
8	с одной стороны	1	4
9	так и в	3	3
10	не может быть	10	3
11	в ранний период	1	2
12	в этом случае	1	2
13	что же касается	1	2
14	с точки зрения	7	2
15	и не может	3	2
16	но при этом	1	2
17	и прежде всего	2	2
18	относятся не к	1	1
19	дистанции между ними	1	1
20	в чем не	1	1
21	все дело в	1	1
22	прежде всего на	1	1
23	прежде всего в	2	1
24	к другому в	1	1
25	в самом деле	5	1
26	же время и	1	1
27	того или иного	4	1
28	и там где	1	1
29	с другой стороны	3	1
30	и в то	3	1
31	значение не только	1	1
32	до известной степени	3	1
33	можно говорить о	1	1
34	бы то ни	1	1
35	только то что	1	1
36	по аналогии с	1	1
37	при этом не	1	1
38	в той мере	1	1
39	в этот период	1	1
40	в общих чертах	1	1
41	именно в этом	1	1
42	в значительной степени	3	1
43	в применении к	2	1
44	в такой же	1	1
45	не совпадает с	1	1
46	говоря уже о	1	1
47	и должно было	1	1
48	не могут быть	4	1
49	а не как	1	1
50	не в том	3	1
51	самого рассказа как	1	1
52	во всяком случае	5	1
53	мере в какой	1	1
54	только в качестве	1	1
55	ни в чем	2	1
56	равно как и	1	1
57	при этом слово	1	1
58	с самого начала	2	1
59	но все эти	1	1
60	но в этом	2	1
61	тем что он	1	1
62	и в пределе	1	1
63	в большинстве случаев	3	1
64	той мере в	1	1
65	тем не менее	1	1
66	заключали в себе	1	1
67	изображения и выражения	1	1
68	по крайней мере	1	1
69	не говоря уже	1	1
