N	4gram	Tiupa_Anal_1	VLabPisa
1	в то же время	6	5
2	и не может быть	4	2
3	в большей или меньшей	1	2
4	в том числе и	1	2
5	большей или меньшей степени	1	2
6	мы имеем дело с	3	1
7	только в том что	1	1
8	в том или ином	2	1
9	одно и то же	1	1
10	как это происходит в	1	1
11	и вместе с тем	1	1
12	с этой точки зрения	1	1
13	но в то же	2	1
14	не может быть сведена	1	1
15	не следует смешивать с	1	1
16	в той или иной	3	1
17	том или ином отношении	1	1
18	может быть сведена к	1	1
19	нет и не может	2	1
20	имеем в виду не	1	1
21	не говоря уже о	1	1
